"","fips","county","candidate","votes"
"4076","13253","Seminole","MITT ROMNEY (R)",2245
"4077","13255","Spalding","MITT ROMNEY (R)",14911
"4078","13257","Stephens","MITT ROMNEY (R)",7221
"4079","13259","Stewart","MITT ROMNEY (R)",745
"4080","13261","Sumter","MITT ROMNEY (R)",5378
"4081","13263","Talbot","MITT ROMNEY (R)",1202
"4082","13265","Taliaferro","MITT ROMNEY (R)",323
"4083","13267","Tattnall","MITT ROMNEY (R)",4706
"4084","13269","Taylor","MITT ROMNEY (R)",1948
"4085","13271","Telfair","MITT ROMNEY (R)",2480
"4086","13273","Terrell","MITT ROMNEY (R)",1834
"4087","13275","Thomas","MITT ROMNEY (R)",11156
"4088","13277","Tift","MITT ROMNEY (R)",9185
"4089","13279","Toombs","MITT ROMNEY (R)",6524
"4090","13281","Towns","MITT ROMNEY (R)",4876
"4091","13283","Treutlen","MITT ROMNEY (R)",1652
"4092","13285","Troup","MITT ROMNEY (R)",15179
"4093","13287","Turner","MITT ROMNEY (R)",2028
"4094","13289","Twiggs","MITT ROMNEY (R)",1907
"4095","13291","Union","MITT ROMNEY (R)",8773
"4096","13293","Upson","MITT ROMNEY (R)",7230
"4097","13295","Walker","MITT ROMNEY (R)",16247
"4098","13297","Walton","MITT ROMNEY (R)",29036
"4099","13299","Ware","MITT ROMNEY (R)",7941
"4100","13301","Warren","MITT ROMNEY (R)",990
"4101","13303","Washington","MITT ROMNEY (R)",4035
"4102","13305","Wayne","MITT ROMNEY (R)",7557
"4103","13307","Webster","MITT ROMNEY (R)",601
"4104","13309","Wheeler","MITT ROMNEY (R)",1366
"4105","13311","White","MITT ROMNEY (R)",8651
"4106","13313","Whitfield","MITT ROMNEY (R)",19305
"4107","13315","Wilcox","MITT ROMNEY (R)",2053
"4108","13317","Wilkes","MITT ROMNEY (R)",2635
"4109","13319","Wilkinson","MITT ROMNEY (R)",2246
"4110","13321","Worth","MITT ROMNEY (R)",5869
"4431","15003","Honolulu","Romney",88461
"4435","15001","Hawaii","Romney",14753
"4439","15009","Maui","Romney",11602
"4443","15007","Kauai","Romney",6121
"4447","","Overseas","Romney",78
"4451","19001","Adair","Mitt Romney/Paul Ryan",2114
"4460","19003","Adams","Mitt Romney/Paul Ryan",1108
"4469","19005","Allamakee","Mitt Romney/Paul Ryan",3264
"4478","19007","Appanoose","Mitt Romney/Paul Ryan",3161
"4487","19009","Audubon","Mitt Romney/Paul Ryan",1802
"4496","19011","Benton","Mitt Romney/Paul Ryan",6940
"4505","19013","Black Hawk","Mitt Romney/Paul Ryan",26235
"4514","19015","Boone","Mitt Romney/Paul Ryan",6556
"4523","19017","Bremer","Mitt Romney/Paul Ryan",6405
"4532","19019","Buchanan","Mitt Romney/Paul Ryan",4450
"4541","19021","Buena Vista","Mitt Romney/Paul Ryan",4554
"4550","19023","Butler","Mitt Romney/Paul Ryan",4106
"4559","19025","Calhoun","Mitt Romney/Paul Ryan",2891
"4568","19027","Carroll","Mitt Romney/Paul Ryan",5601
"4577","19029","Cass","Mitt Romney/Paul Ryan",4217
"4586","19031","Cedar","Mitt Romney/Paul Ryan",4529
"4595","19033","Cerro Gordo","Mitt Romney/Paul Ryan",10128
"4604","19035","Cherokee","Mitt Romney/Paul Ryan",3662
"4613","19037","Chickasaw","Mitt Romney/Paul Ryan",2836
"4622","19039","Clarke","Mitt Romney/Paul Ryan",2124
"4631","19041","Clay","Mitt Romney/Paul Ryan",4951
"4640","19043","Clayton","Mitt Romney/Paul Ryan",4164
"4649","19045","Clinton","Mitt Romney/Paul Ryan",9432
"4658","19047","Crawford","Mitt Romney/Paul Ryan",3595
"4667","19049","Dallas","Mitt Romney/Paul Ryan",20988
"4676","19051","Davis","Mitt Romney/Paul Ryan",2138
"4685","19053","Decatur","Mitt Romney/Paul Ryan",1947
"4694","19055","Delaware","Mitt Romney/Paul Ryan",4636
"4703","19057","Des Moines","Mitt Romney/Paul Ryan",8136
"4712","19059","Dickinson","Mitt Romney/Paul Ryan",5912
"4721","19061","Dubuque","Mitt Romney/Paul Ryan",21280
"4730","19063","Emmet","Mitt Romney/Paul Ryan",2507
"4739","19065","Fayette","Mitt Romney/Paul Ryan",4492
"4748","19067","Floyd","Mitt Romney/Paul Ryan",3472
"4757","19069","Franklin","Mitt Romney/Paul Ryan",2823
"4766","19071","Fremont","Mitt Romney/Paul Ryan",1972
"4775","19073","Greene","Mitt Romney/Paul Ryan",2380
"4784","19075","Grundy","Mitt Romney/Paul Ryan",4215
"4793","19077","Guthrie","Mitt Romney/Paul Ryan",3171
"4802","19079","Hamilton","Mitt Romney/Paul Ryan",3991
"4811","19081","Hancock","Mitt Romney/Paul Ryan",3317
"4820","19083","Hardin","Mitt Romney/Paul Ryan",4670
"4829","19085","Harrison","Mitt Romney/Paul Ryan",4065
"4838","19087","Henry","Mitt Romney/Paul Ryan",5035
"4847","19089","Howard","Mitt Romney/Paul Ryan",1795
"4856","19091","Humboldt","Mitt Romney/Paul Ryan",3099
"4865","19093","Ida","Mitt Romney/Paul Ryan",2286
"4874","19095","Iowa","Mitt Romney/Paul Ryan",4569
"4883","19097","Jackson","Mitt Romney/Paul Ryan",4177
"4892","19099","Jasper","Mitt Romney/Paul Ryan",8877
"4901","19101","Jefferson","Mitt Romney/Paul Ryan",3436
"4910","19103","Johnson","Mitt Romney/Paul Ryan",23698
"4919","19105","Jones","Mitt Romney/Paul Ryan",4721
"4928","19107","Keokuk","Mitt Romney/Paul Ryan",2843
"4937","19109","Kossuth","Mitt Romney/Paul Ryan",4937
"4946","19111","Lee","Mitt Romney/Paul Ryan",7785
"4955","19113","Linn","Mitt Romney/Paul Ryan",47622
"4964","19115","Louisa","Mitt Romney/Paul Ryan",2420
"4973","19117","Lucas","Mitt Romney/Paul Ryan",2254
"4982","19119","Lyon","Mitt Romney/Paul Ryan",4978
"4991","19121","Madison","Mitt Romney/Paul Ryan",4638
"5000","19123","Mahaska","Mitt Romney/Paul Ryan",6448
"5009","19125","Marion","Mitt Romney/Paul Ryan",9828
"5018","19127","Marshall","Mitt Romney/Paul Ryan",8472
"5027","19129","Mills","Mitt Romney/Paul Ryan",4216
"5036","19131","Mitchell","Mitt Romney/Paul Ryan",2643
"5045","19133","Monona","Mitt Romney/Paul Ryan",2557
"5054","19135","Monroe","Mitt Romney/Paul Ryan",2026
"5063","19137","Montgomery","Mitt Romney/Paul Ryan",3001
"5072","19139","Muscatine","Mitt Romney/Paul Ryan",8168
"5081","19141","O'Brien","Mitt Romney/Paul Ryan",5266
"5090","19143","Osceola","Mitt Romney/Paul Ryan",2230
"5099","19145","Page","Mitt Romney/Paul Ryan",4348
"5108","19147","Palo Alto","Mitt Romney/Paul Ryan",2660
"5117","19149","Plymouth","Mitt Romney/Paul Ryan",8597
"5126","19151","Pocahontas","Mitt Romney/Paul Ryan",2396
"5135","19153","Polk","Mitt Romney/Paul Ryan",96096
"5144","19155","Pottawattamie","Mitt Romney/Paul Ryan",21860
"5153","19157","Poweshiek","Mitt Romney/Paul Ryan",4424
"5162","19159","Ringgold","Mitt Romney/Paul Ryan",1368
"5171","19161","Sac","Mitt Romney/Paul Ryan",3094
"5180","19163","Scott","Mitt Romney/Paul Ryan",38251
"5189","19165","Shelby","Mitt Romney/Paul Ryan",3911
"5198","19167","Sioux","Mitt Romney/Paul Ryan",14407
"5207","19169","Story","Mitt Romney/Paul Ryan",19668
"5216","19171","Tama","Mitt Romney/Paul Ryan",4098
"5225","19173","Taylor","Mitt Romney/Paul Ryan",1683
"5234","19175","Union","Mitt Romney/Paul Ryan",2813
"5243","19177","Van Buren","Mitt Romney/Paul Ryan",2064
"5252","19179","Wapello","Mitt Romney/Paul Ryan",6789
"5261","19181","Warren","Mitt Romney/Paul Ryan",13052
"5270","19183","Washington","Mitt Romney/Paul Ryan",5562
"5279","19185","Wayne","Mitt Romney/Paul Ryan",1583
"5288","19187","Webster","Mitt Romney/Paul Ryan",8469
"5297","19189","Winnebago","Mitt Romney/Paul Ryan",2906
"5306","19191","Winneshiek","Mitt Romney/Paul Ryan",4622
"5315","19193","Woodbury","Mitt Romney/Paul Ryan",21841
"5324","19195","Worth","Mitt Romney/Paul Ryan",1744
"5333","19197","Wright","Mitt Romney/Paul Ryan",3349
"5347","16001","Ada","Mitt Romney",97554
"5353","16003","Adams","Mitt Romney",1413
"5359","16005","Bannock","Mitt Romney",21010
"5365","16007","Bear Lake","Mitt Romney",2489
"5371","16009","Benewah","Mitt Romney",2596
"5377","16011","Bingham","Mitt Romney",13440
"5383","16013","Blaine","Mitt Romney",3939
"5389","16015","Boise","Mitt Romney",2284
"5395","16017","Bonner","Mitt Romney",11367
"5401","16019","Bonneville","Mitt Romney",32276
"5407","16021","Boundary","Mitt Romney",3138
"5413","16023","Butte","Mitt Romney",1001
"5419","16025","Camas","Mitt Romney",402
"5425","16027","Canyon","Mitt Romney",44369
"5431","16029","Caribou","Mitt Romney",2608
"5437","16031","Cassia","Mitt Romney",7154
"5443","16033","Clark","Mitt Romney",235
"5449","16035","Clearwater","Mitt Romney",2541
"5455","16037","Custer","Mitt Romney",1744
"5461","16039","Elmore","Mitt Romney",5227
"5467","16041","Franklin","Mitt Romney",5195
"5473","16043","Fremont","Mitt Romney",4907
"5479","16045","Gem","Mitt Romney",5311
"5485","16047","Gooding","Mitt Romney",3696
"5491","16049","Idaho","Mitt Romney",5921
"5497","16051","Jefferson","Mitt Romney",9895
"5503","16053","Jerome","Mitt Romney",4804
"5509","16055","Kootenai","Mitt Romney",39381
"5515","16057","Latah","Mitt Romney",7589
"5521","16059","Lemhi","Mitt Romney",3029
"5527","16061","Lewis","Mitt Romney",1173
"5533","16063","Lincoln","Mitt Romney",1141
"5539","16065","Madison","Mitt Romney",13445
"5545","16067","Minidoka","Mitt Romney",5442
"5551","16069","Nez Perce","Mitt Romney",9967
"5557","16071","Oneida","Mitt Romney",1838
"5563","16073","Owyhee","Mitt Romney",2794
"5569","16075","Payette","Mitt Romney",6004
"5575","16077","Power","Mitt Romney",1870
"5581","16079","Shoshone","Mitt Romney",2699
"5587","16081","Teton","Mitt Romney",2458
"5593","16083","Twin Falls","Mitt Romney",19773
"5599","16085","Valley","Mitt Romney",2664
"5605","16087","Washington","Mitt Romney",3128
"5812","17001","ADAMS","ROMNEY",20416
"5813","17003","ALEXANDER","ROMNEY",1487
"5814","17005","BOND","ROMNEY",4095
"5815","17007","BOONE","ROMNEY",11096
"5816","17009","BROWN","ROMNEY",1513
"5817","17011","BUREAU","ROMNEY",8164
"5818","17013","CALHOUN","ROMNEY",1440
"5819","17015","CARROLL","ROMNEY",3555
"5820","17017","CASS","ROMNEY",2707
"5821","17019","CHAMPAIGN","ROMNEY",35312
"5822","17021","CHRISTIAN","ROMNEY",8885
"5823","17023","CLARK","ROMNEY",5144
"5824","17025","CLAY","ROMNEY",4190
"5825","17027","CLINTON","ROMNEY",10524
"5826","17029","COLES","ROMNEY",11631
"5827","17031","COOK","ROMNEY",495542
"5828","17033","CRAWFORD","ROMNEY",5585
"5829","17035","CUMBERLAND","ROMNEY",3509
"5830","17037","DeKALB","ROMNEY",18934
"5831","17039","DE WITT","ROMNEY",4579
"5832","17041","DOUGLAS","ROMNEY",5334
"5833","17043","DuPAGE","ROMNEY",195046
"5834","17045","EDGAR","ROMNEY",5132
"5835","17047","EDWARDS","ROMNEY",2405
"5836","17049","EFFINGHAM","ROMNEY",12501
"5837","17051","FAYETTE","ROMNEY",5951
"5838","17053","FORD","ROMNEY",4229
"5839","17055","FRANKLIN","ROMNEY",10267
"5840","17057","FULTON","ROMNEY",6632
"5841","17059","GALLATIN","ROMNEY",1492
"5842","17061","GREENE","ROMNEY",3451
"5843","17063","GRUNDY","ROMNEY",11343
"5844","17065","HAMILTON","ROMNEY",2566
"5845","17067","HANCOCK","ROMNEY",5271
"5846","17069","HARDIN","ROMNEY",1535
"5847","17071","HENDERSON","ROMNEY",1541
"5848","17073","HENRY","ROMNEY",11583
"5849","17075","IROQUOIS","ROMNEY",9120
"5850","17077","JACKSON","ROMNEY",9864
"5851","17079","JASPER","ROMNEY",3514
"5852","17081","JEFFERSON","ROMNEY",9811
"5853","17083","JERSEY","ROMNEY",6039
"5854","17085","JO DAVIESS","ROMNEY",5534
"5855","17087","JOHNSON","ROMNEY",3963
"5856","17089","KANE","ROMNEY",88335
"5857","17091","KANKAKEE","ROMNEY",23136
"5858","17093","KENDALL","ROMNEY",24047
"5859","17095","KNOX","ROMNEY",9408
"5860","17097","LAKE","ROMNEY",129764
"5861","17099","LaSALLE","ROMNEY",23256
"5862","17101","LAWRENCE","ROMNEY",3857
"5863","17103","LEE","ROMNEY",8059
"5864","17105","LIVINGSTON","ROMNEY",9753
"5865","17107","LOGAN","ROMNEY",7844
"5866","17115","MACON","ROMNEY",25309
"5867","17117","MACOUPIN","ROMNEY",10946
"5868","17119","MADISON","ROMNEY",60608
"5869","17121","MARION","ROMNEY",9248
"5870","17123","MARSHALL","ROMNEY",3290
"5871","17125","MASON","ROMNEY",3265
"5872","17127","MASSAC","ROMNEY",4278
"5873","17109","McDONOUGH","ROMNEY",6147
"5874","17111","McHENRY","ROMNEY",71598
"5875","17113","McLEAN","ROMNEY",39947
"5876","17129","MENARD","ROMNEY",3948
"5877","17131","MERCER","ROMNEY",3876
"5878","17133","MONROE","ROMNEY",10888
"5879","17135","MONTGOMERY","ROMNEY",6776
"5880","17137","MORGAN","ROMNEY",7972
"5881","17139","MOULTRIE","ROMNEY",3784
"5882","17141","OGLE","ROMNEY",13422
"5883","17143","PEORIA","ROMNEY",36774
"5884","17145","PERRY","ROMNEY",5507
"5885","17147","PIATT","ROMNEY",5413
"5886","17149","PIKE","ROMNEY",4860
"5887","17151","POPE","ROMNEY",1512
"5888","17153","PULASKI","ROMNEY",1564
"5889","17155","PUTNAM","ROMNEY",1502
"5890","17157","RANDOLPH","ROMNEY",8290
"5891","17159","RICHLAND","ROMNEY",4756
"5892","17161","ROCK ISLAND","ROMNEY",24934
"5893","17165","SALINE","ROMNEY",6806
"5894","17167","SANGAMON","ROMNEY",50225
"5895","17169","SCHUYLER","ROMNEY",2069
"5896","17171","SCOTT","ROMNEY",1587
"5897","17173","SHELBY","ROMNEY",6843
"5898","17163","ST. CLAIR","ROMNEY",50125
"5899","17175","STARK","ROMNEY",1528
"5900","17177","STEPHENSON","ROMNEY",10512
"5901","17179","TAZEWELL","ROMNEY",35335
"5902","17181","UNION","ROMNEY",4957
"5903","17183","VERMILION","ROMNEY",16892
"5904","17185","WABASH","ROMNEY",3478
"5905","17187","WARREN","ROMNEY",3618
"5906","17189","WASHINGTON","ROMNEY",4792
"5907","17191","WAYNE","ROMNEY",5988
"5908","17193","WHITE","ROMNEY",4731
"5909","17195","WHITESIDE","ROMNEY",10448
"5910","17197","WILL","ROMNEY",128969
"5911","17199","WILLIAMSON","ROMNEY",17909
"5912","17201","WINNEBAGO","ROMNEY",55138
"5913","17203","WOODFORD","ROMNEY",12961
"7497","18001","Adams","Romney",8937
"7503","18003","Allen","Romney",84613
"7509","18005","Bartholomew","Romney",18083
"7515","18007","Benton","Romney",2329
"7521","18009","Blackford","Romney",2711
"7527","18011","Boone","Romney",18808
"7533","18013","Brown","Romney",4332
"7539","18015","Carroll","Romney",4999
"7545","18017","Cass","Romney",8443
"7551","18019","Clark","Romney",25450
"7557","18021","Clay","Romney",7096
"7563","18023","Clinton","Romney",6338
"7569","18025","Crawford","Romney",2421
"7575","18027","Daviess","Romney",7638
"7581","18029","Dearborn","Romney",15394
"7587","18031","Decatur","Romney",7119
"7593","18033","DeKalb","Romney",10587
"7599","18035","Delaware","Romney",21251
"7605","18037","Dubois","Romney",11654
"7611","18039","Elkhart","Romney",42378
"7617","18041","Fayette","Romney",5045
"7623","18043","Floyd","Romney",19878
"7629","18045","Fountain","Romney",4664
"7635","18047","Franklin","Romney",7424
"7641","18049","Fulton","Romney",5317
"7647","18051","Gibson","Romney",9487
"7653","18053","Grant","Romney",15151
"7659","18055","Greene","Romney",8457
"7665","18057","Hamilton","Romney",90747
"7671","18059","Hancock","Romney",22796
"7677","18061","Harrison","Romney",10640
"7683","18063","Hendricks","Romney",44312
"7689","18065","Henry","Romney",10838
"7695","18067","Howard","Romney",20327
"7701","18069","Huntington","Romney",10862
"7707","18071","Jackson","Romney",10419
"7713","18073","Jasper","Romney",7955
"7719","18075","Jay","Romney",4645
"7725","18077","Jefferson","Romney",7096
"7731","18079","Jennings","Romney",6120
"7737","18081","Johnson","Romney",39513
"7743","18083","Knox","Romney",9612
"7749","18085","Kosciusko","Romney",22558
"7755","18091","LaPorte","Romney",18615
"7761","18087","LaGrange","Romney",6231
"7767","18089","Lake","Romney",68431
"7773","18093","Lawrence","Romney",11622
"7779","18095","Madison","Romney",26769
"7785","18097","Marion","Romney",136509
"7791","18099","Marshall","Romney",11260
"7797","18101","Martin","Romney",3262
"7803","18103","Miami","Romney",8174
"7809","18105","Monroe","Romney",22481
"7815","18107","Montgomery","Romney",9824
"7821","18109","Morgan","Romney",19591
"7827","18111","Newton","Romney",3291
"7833","18113","Noble","Romney",10680
"7839","18115","Ohio","Romney",1759
"7845","18117","Orange","Romney",4617
"7851","18119","Owen","Romney",5062
"7857","18121","Parke","Romney",4234
"7863","18123","Perry","Romney",3403
"7869","18125","Pike","Romney",3627
"7875","18127","Porter","Romney",34406
"7881","18129","Posey","Romney",7430
"7887","18131","Pulaski","Romney",3366
"7893","18133","Putnam","Romney",9005
"7899","18135","Randolph","Romney",6218
"7905","18137","Ripley","Romney",7484
"7911","18139","Rush","Romney",4633
"7917","18143","Scott","Romney",4539
"7923","18145","Shelby","Romney",10978
"7929","18147","Spencer","Romney",5515
"7935","18141","St. Joseph","Romney",52578
"7941","18149","Starke","Romney",4738
"7947","18151","Steuben","Romney",8547
"7953","18153","Sullivan","Romney",4902
"7959","18155","Switzerland","Romney",1872
"7965","18157","Tippecanoe","Romney",28757
"7971","18159","Tipton","Romney",4773
"7977","18161","Union","Romney",2022
"7983","18163","Vanderburgh","Romney",39389
"7989","18165","Vermillion","Romney",3426
"7995","18167","Vigo","Romney",19369
"8001","18169","Wabash","Romney",8644
"8007","18171","Warren","Romney",2377
"8013","18173","Warrick","Romney",15351
"8019","18175","Washington","Romney",6533
"8025","18177","Wayne","Romney",14321
"8031","18179","Wells","Romney",9256
"8037","18181","White","Romney",5970
"8043","18183","Whitley","Romney",10258
"9247","20001","ALLEN","ROMNEY (REPUBLICAN)",3316
"9255","20003","ANDERSON","ROMNEY (REPUBLICAN)",2276
"9261","20005","ATCHISON","ROMNEY (REPUBLICAN)",3917
"9269","20007","BARBER","ROMNEY (REPUBLICAN)",1772
"9274","20009","BARTON","ROMNEY (REPUBLICAN)",7874
"9279","20011","BOURBON","ROMNEY (REPUBLICAN)",4102
"9284","20013","BROWN","ROMNEY (REPUBLICAN)",2829
"9288","20015","BUTLER","ROMNEY (REPUBLICAN)",18157
"9299","20017","CHASE","ROMNEY (REPUBLICAN)",875
"9306","20019","CHAUTAUQUA","ROMNEY (REPUBLICAN)",1304
"9310","20021","CHEROKEE","ROMNEY (REPUBLICAN)",5456
"9314","20023","CHEYENNE","ROMNEY (REPUBLICAN)",1159
"9318","20025","CLARK","ROMNEY (REPUBLICAN)",805
"9322","20027","CLAY","ROMNEY (REPUBLICAN)",2788
"9326","20029","CLOUD","ROMNEY (REPUBLICAN)",2954
"9332","20031","COFFEY","ROMNEY (REPUBLICAN)",2903
"9338","20033","COMANCHE","ROMNEY (REPUBLICAN)",767
"9342","20035","COWLEY","ROMNEY (REPUBLICAN)",8081
"9348","20037","CRAWFORD","ROMNEY (REPUBLICAN)",7708
"9356","20039","DECATUR","ROMNEY (REPUBLICAN)",1218
"9360","20041","DICKINSON","ROMNEY (REPUBLICAN)",5832
"9365","20043","DONIPHAN","ROMNEY (REPUBLICAN)",2414
"9369","20045","DOUGLAS","ROMNEY (REPUBLICAN)",17401
"9377","20047","EDWARDS","ROMNEY (REPUBLICAN)",1059
"9381","20049","ELK","ROMNEY (REPUBLICAN)",1049
"9385","20051","ELLIS","ROMNEY (REPUBLICAN)",8399
"9391","20053","ELLSWORTH","ROMNEY (REPUBLICAN)",1930
"9397","20055","FINNEY","ROMNEY (REPUBLICAN)",6219
"9402","20057","FORD","ROMNEY (REPUBLICAN)",5602
"9406","20059","FRANKLIN","ROMNEY (REPUBLICAN)",6984
"9413","20061","GEARY","ROMNEY (REPUBLICAN)",4372
"9421","20063","GOVE","ROMNEY (REPUBLICAN)",1168
"9425","20065","GRAHAM","ROMNEY (REPUBLICAN)",1056
"9430","20067","GRANT","ROMNEY (REPUBLICAN)",1811
"9436","20069","GRAY","ROMNEY (REPUBLICAN)",1603
"9441","20071","GREELEY","ROMNEY (REPUBLICAN)",543
"9445","20073","GREENWOOD","ROMNEY (REPUBLICAN)",1590
"9449","20075","HAMILTON","ROMNEY (REPUBLICAN)",693
"9453","20077","HARPER","ROMNEY (REPUBLICAN)",1759
"9458","20079","HARVEY","ROMNEY (REPUBLICAN)",8588
"9465","20081","HASKELL","ROMNEY (REPUBLICAN)",1159
"9469","20083","HODGEMAN","ROMNEY (REPUBLICAN)",868
"9473","20085","JACKSON","ROMNEY (REPUBLICAN)",3527
"9477","20087","JEFFERSON","ROMNEY (REPUBLICAN)",4827
"9484","20089","JEWELL","ROMNEY (REPUBLICAN)",1235
"9488","20091","JOHNSON","ROMNEY (REPUBLICAN)",158401
"9499","20093","KEARNY","ROMNEY (REPUBLICAN)",1097
"9503","20095","KINGMAN","ROMNEY (REPUBLICAN)",2397
"9509","20097","KIOWA","ROMNEY (REPUBLICAN)",976
"9514","20099","LABETTE","ROMNEY (REPUBLICAN)",4742
"9522","20101","LANE","ROMNEY (REPUBLICAN)",739
"9526","20103","LEAVENWORTH","ROMNEY (REPUBLICAN)",17059
"9534","20105","LINCOLN","ROMNEY (REPUBLICAN)",1165
"9538","20107","LINN","ROMNEY (REPUBLICAN)",3177
"9545","20109","LOGAN","ROMNEY (REPUBLICAN)",1126
"9549","20111","LYON","ROMNEY (REPUBLICAN)",6470
"9554","20115","MARION","ROMNEY (REPUBLICAN)",3889
"9559","20117","MARSHALL","ROMNEY (REPUBLICAN)",3195
"9563","20113","MCPHERSON","ROMNEY (REPUBLICAN)",8545
"9571","20119","MEADE","ROMNEY (REPUBLICAN)",1428
"9575","20121","MIAMI","ROMNEY (REPUBLICAN)",9858
"9580","20123","MITCHELL","ROMNEY (REPUBLICAN)",2327
"9584","20125","MONTGOMERY","ROMNEY (REPUBLICAN)",8630
"9589","20127","MORRIS","ROMNEY (REPUBLICAN)",1773
"9593","20129","MORTON","ROMNEY (REPUBLICAN)",1072
"9597","20131","NEMAHA","ROMNEY (REPUBLICAN)",3930
"9602","20133","NEOSHO","ROMNEY (REPUBLICAN)",4272
"9607","20135","NESS","ROMNEY (REPUBLICAN)",1209
"9611","20137","NORTON","ROMNEY (REPUBLICAN)",1878
"9616","20139","OSAGE","ROMNEY (REPUBLICAN)",4427
"9620","20141","OSBORNE","ROMNEY (REPUBLICAN)",1479
"9624","20143","OTTAWA","ROMNEY (REPUBLICAN)",2295
"9628","20145","PAWNEE","ROMNEY (REPUBLICAN)",1836
"9633","20147","PHILLIPS","ROMNEY (REPUBLICAN)",2135
"9638","20149","POTTAWATOMIE","ROMNEY (REPUBLICAN)",6804
"9645","20151","PRATT","ROMNEY (REPUBLICAN)",2771
"9650","20153","RAWLINS","ROMNEY (REPUBLICAN)",1223
"9654","20155","RENO","ROMNEY (REPUBLICAN)",15718
"9662","20157","REPUBLIC","ROMNEY (REPUBLICAN)",2134
"9666","20159","RICE","ROMNEY (REPUBLICAN)",2676
"9670","20161","RILEY","ROMNEY (REPUBLICAN)",11507
"9678","20163","ROOKS","ROMNEY (REPUBLICAN)",2038
"9683","20165","RUSH","ROMNEY (REPUBLICAN)",1166
"9687","20167","RUSSELL","ROMNEY (REPUBLICAN)",2553
"9691","20169","SALINE","ROMNEY (REPUBLICAN)",13840
"9698","20171","SCOTT","ROMNEY (REPUBLICAN)",1728
"9702","20173","SEDGWICK","ROMNEY (REPUBLICAN)",106506
"9714","20175","SEWARD","ROMNEY (REPUBLICAN)",3617
"9718","20177","SHAWNEE","ROMNEY (REPUBLICAN)",37782
"9728","20179","SHERIDAN","ROMNEY (REPUBLICAN)",1154
"9732","20181","SHERMAN","ROMNEY (REPUBLICAN)",1976
"9738","20183","SMITH","ROMNEY (REPUBLICAN)",1624
"9742","20185","STAFFORD","ROMNEY (REPUBLICAN)",1385
"9748","20187","STANTON","ROMNEY (REPUBLICAN)",605
"9752","20189","STEVENS","ROMNEY (REPUBLICAN)",1749
"9756","20191","SUMNER","ROMNEY (REPUBLICAN)",6260
"9762","20193","THOMAS","ROMNEY (REPUBLICAN)",2788
"9766","20195","TREGO","ROMNEY (REPUBLICAN)",1261
"9771","20197","WABAUNSEE","ROMNEY (REPUBLICAN)",2256
"9775","20199","WALLACE","ROMNEY (REPUBLICAN)",719
"9779","20201","WASHINGTON","ROMNEY (REPUBLICAN)",2316
"9783","20203","WICHITA","ROMNEY (REPUBLICAN)",821
"9787","20205","WILSON","ROMNEY (REPUBLICAN)",5650
"9791","20207","WOODSON","ROMNEY (REPUBLICAN)",1035
"9797","20209","WYANDOTTE","ROMNEY (REPUBLICAN)",15496
"9805","21001","Adair","ROMNEY",5841
"9821","21003","Allen","ROMNEY",5184
"9837","21005","Anderson","ROMNEY",6822
"9853","21007","Ballard","ROMNEY",2647
"9869","21009","Barren","ROMNEY",10922
"9885","21011","Bath","ROMNEY",2275
"9901","21013","Bell","ROMNEY",7127
"9917","21015","Boone","ROMNEY",35922
"9933","21017","Bourbon","ROMNEY",4692
"9949","21019","Boyd","ROMNEY",10884
"9965","21021","Boyle","ROMNEY",7703
"9981","21023","Bracken","ROMNEY",2029
"9997","21025","Breathitt","ROMNEY",3318
"10013","21027","Breckinridge","ROMNEY",5025
"10029","21029","Bullitt","ROMNEY",21306
"10045","21031","Butler","ROMNEY",3716
"10061","21033","Caldwell","ROMNEY",3904
"10077","21035","Calloway","ROMNEY",9440
"10093","21037","Campbell","ROMNEY",24240
"10109","21039","Carlisle","ROMNEY",1835
"10125","21041","Carroll","ROMNEY",1999
"10141","21043","Carter","ROMNEY",5279
"10157","21045","Casey","ROMNEY",4904
"10173","21047","Christian","ROMNEY",13475
"10189","21049","Clark","ROMNEY",9931
"10205","21051","Clay","ROMNEY",6176
"10221","21053","Clinton","ROMNEY",3569
"10237","21055","Crittenden","ROMNEY",2839
"10253","21057","Cumberland","ROMNEY",2216
"10269","21059","Daviess","ROMNEY",25092
"10285","21061","Edmonson","ROMNEY",3232
"10301","21063","Elliott","ROMNEY",1126
"10317","21065","Estill","ROMNEY",3749
"10333","21067","Fayette","ROMNEY",60795
"10349","21069","Fleming","ROMNEY",3780
"10365","21071","Floyd","ROMNEY",9784
"10381","21073","Franklin","ROMNEY",11345
"10397","21075","Fulton","ROMNEY",1425
"10413","21077","Gallatin","ROMNEY",1758
"10429","21079","Garrard","ROMNEY",5310
"10445","21081","Grant","ROMNEY",5664
"10461","21083","Graves","ROMNEY",10699
"10477","21085","Grayson","ROMNEY",6404
"10493","21087","Green","ROMNEY",3634
"10509","21089","Greenup","ROMNEY",8855
"10525","21091","Hancock","ROMNEY",2212
"10541","21093","Hardin","ROMNEY",23357
"10557","21095","Harlan","ROMNEY",8652
"10573","21097","Harrison","ROMNEY",4556
"10589","21099","Hart","ROMNEY",4257
"10605","21101","Henderson","ROMNEY",10296
"10621","21103","Henry","ROMNEY",3940
"10637","21105","Hickman","ROMNEY",1431
"10653","21107","Hopkins","ROMNEY",13681
"10669","21109","Jackson","ROMNEY",4365
