"","fips","county","candidate","votes"
"609","05113","Polk","Mitt Romney / Paul Ryan",5955
"610","05115","Pope","Mitt Romney / Paul Ryan",14763
"611","05117","Prairie","Mitt Romney / Paul Ryan",2153
"612","05119","Pulaski","Mitt Romney / Paul Ryan",68984
"613","05121","Randolph","Mitt Romney / Paul Ryan",3701
"614","05125","Saline","Mitt Romney / Paul Ryan",32963
"615","05127","Scott","Mitt Romney / Paul Ryan",2631
"616","05129","Searcy","Mitt Romney / Paul Ryan",2699
"617","05131","Sebastian","Mitt Romney / Paul Ryan",29169
"618","05133","Sevier","Mitt Romney / Paul Ryan",3136
"619","05135","Sharp","Mitt Romney / Paul Ryan",4921
"620","05123","St. Francis","Mitt Romney / Paul Ryan",3368
"621","05137","Stone","Mitt Romney / Paul Ryan",3776
"622","05139","Union","Mitt Romney / Paul Ryan",10699
"623","05141","Van Buren","Mitt Romney / Paul Ryan",4365
"624","05143","Washington","Mitt Romney / Paul Ryan",39688
"625","05145","White","Mitt Romney / Paul Ryan",20011
"626","05147","Woodruff","Mitt Romney / Paul Ryan",1227
"627","05149","Yell","Mitt Romney / Paul Ryan",4042
"780","04001","Apache","ROMNEY",8250
"785","04003","Cochise","ROMNEY",29497
"790","04005","Coconino","ROMNEY",21220
"795","04007","Gila","ROMNEY",13455
"800","04009","Graham","ROMNEY",8076
"805","04011","Greenlee","ROMNEY",1592
"810","04012","La Paz","ROMNEY",3714
"815","04013","Maricopa","ROMNEY",749885
"820","04015","Mohave","ROMNEY",49168
"825","04017","Navajo","ROMNEY",19884
"830","04019","Pima","ROMNEY",174779
"835","04021","Pinal","ROMNEY",62079
"840","04023","Santa Cruz","ROMNEY",4235
"845","04025","Yavapai","ROMNEY",64468
"850","04027","Yuma","ROMNEY",23352
"856","06001","Alameda","Mitt Romney",108182
"870","06003","Alpine","Mitt Romney",236
"884","06005","Amador","Mitt Romney",10281
"898","06007","Butte","Mitt Romney",44479
"912","06009","Calaveras","Mitt Romney",12363
"926","06011","Colusa","Mitt Romney",3601
"940","06013","Contra Costa","Mitt Romney",136517
