"","fips","cand","st","votes","total_votes","pct","lead"
"3141","39139","Donald Trump","OH",35805,53739,0.666275889019148,"Donald Trump"
"3146","18095","Donald Trump","IN",32376,53660,0.603354453969437,"Donald Trump"
"3149","42051","Donald Trump","PA",34388,53426,0.643656646576573,"Donald Trump"
"3154","55089","Donald Trump","WI",30458,53368,0.570716534252736,"Donald Trump"
"3162","34011","Donald Trump","NJ",24213,53018,0.456693952997095,"Hillary Clinton"
"3170","26017","Donald Trump","MI",28327,52932,0.535158316330386,"Donald Trump"
"3176","5125","Donald Trump","AR",35852,52578,0.681882156034843,"Donald Trump"
"3184","22105","Donald Trump","LA",33933,52381,0.647811229262519,"Donald Trump"
"3198","30031","Donald Trump","MT",23360,52335,0.446355211617464,"Hillary Clinton"
"3202","53077","Donald Trump","WA",29592,52250,0.566354066985646,"Donald Trump"
"3209","42013","Donald Trump","PA",37224,52029,0.715447154471545,"Donald Trump"
"3215","15009","Donald Trump","HI",13445,51942,0.258846405606253,"Hillary Clinton"
"3219","47009","Donald Trump","TN",37385,51849,0.721036085556134,"Donald Trump"
"3226","39109","Donald Trump","OH",36311,51467,0.70552004196864,"Donald Trump"
"3231","26055","Donald Trump","MI",27412,51460,0.532685581033813,"Donald Trump"
"3237","41019","Donald Trump","OR",34112,51350,0.664303797468354,"Donald Trump"
"3241","18019","Donald Trump","IN",30012,51104,0.587273011897307,"Donald Trump"
"3244","55039","Donald Trump","WI",31044,51094,0.607586017927741,"Donald Trump"
"3251","17093","Donald Trump","IL",24152,50815,0.475292728525042,"Donald Trump"
"3255","29037","Donald Trump","MO",33006,50715,0.650813368825791,"Donald Trump"
"3260","9015","Donald Trump","CT",25738,50703,0.507622823107114,"Donald Trump"
"3265","6113","Donald Trump","CA",13178,50623,0.260316456946447,"Hillary Clinton"
"3269","55127","Donald Trump","WI",28848,50570,0.570456792564762,"Donald Trump"
"3276","42081","Donald Trump","PA",35475,50294,0.705352527140414,"Donald Trump"
"3281","51161","Donald Trump","VA",30857,50149,0.615306386966839,"Donald Trump"
"3287","33009","Donald Trump","NH",19010,50112,0.379350255427842,"Hillary Clinton"
"3291","29071","Donald Trump","MO",35420,50045,0.707763013288041,"Donald Trump"
"3296","1103","Donald Trump","AL",37392,49991,0.747974635434378,"Donald Trump"
"3300","37191","Donald Trump","NC",27360,49824,0.549132947976879,"Donald Trump"
"3303","22015","Donald Trump","LA",35451,49818,0.711610261351319,"Donald Trump"
"3316","42085","Donald Trump","PA",30034,49594,0.605597451304593,"Donald Trump"
"3321","47179","Donald Trump","TN",34179,49411,0.691728562465848,"Donald Trump"
"3328","36013","Donald Trump","NY",29418,49381,0.595735201798262,"Donald Trump"
"3332","19061","Donald Trump","IA",23384,49037,0.476864408507861,"Donald Trump"
"3343","19169","Donald Trump","IA",19111,48910,0.390738090370067,"Hillary Clinton"
"3352","45077","Donald Trump","SC",36096,48871,0.738597532278857,"Donald Trump"
"3359","49053","Donald Trump","UT",33472,48818,0.685648736121922,"Donald Trump"
"3369","48329","Donald Trump","TX",36896,48753,0.756794453674646,"Donald Trump"
"3373","39055","Donald Trump","OH",29577,48736,0.606881976362443,"Donald Trump"
"3378","39169","Donald Trump","OH",31622,48550,0.651328527291452,"Donald Trump"
"3383","17099","Donald Trump","IL",26269,48447,0.542221396577704,"Donald Trump"
"3387","34041","Donald Trump","NJ",29393,48442,0.60676685520829,"Donald Trump"
"3396","21227","Donald Trump","KY",28673,48436,0.591977041869684,"Donald Trump"
"3402","34009","Donald Trump","NJ",28237,48375,0.583710594315246,"Donald Trump"
"3412","20045","Donald Trump","KS",14308,48231,0.296655677883519,"Hillary Clinton"
"3415","29097","Donald Trump","MO",35058,48179,0.727661429253409,"Donald Trump"
"3420","27141","Donald Trump","MN",31049,47938,0.64769076724102,"Donald Trump"
"3429","37125","Donald Trump","NC",30273,47746,0.634042642315587,"Donald Trump"
"3432","46103","Donald Trump","SD",29804,47741,0.624285205588488,"Donald Trump"
"3436","36069","Donald Trump","NY",24343,47664,0.510720879489762,"Donald Trump"
"3441","20209","Donald Trump","KS",15520,47467,0.326963996039354,"Hillary Clinton"
"3444","1015","Donald Trump","AL",32803,47376,0.692396994258696,"Donald Trump"
"3448","17115","Donald Trump","IL",26782,47283,0.566419220438635,"Donald Trump"
"3452","5045","Donald Trump","AR",29170,47196,0.618060852614628,"Donald Trump"
"3460","42001","Donald Trump","PA",31249,47138,0.662925877211591,"Donald Trump"
"3465","48181","Donald Trump","TX",35274,47068,0.749426361859437,"Donald Trump"
"3469","37127","Donald Trump","NC",23142,46903,0.49340127497175,"Donald Trump"
"3472","38015","Donald Trump","ND",32499,46874,0.693326790971541,"Donald Trump"
"3478","55109","Donald Trump","WI",26123,46819,0.557957239582221,"Donald Trump"
"3485","29165","Donald Trump","MO",24975,46641,0.535473081623464,"Donald Trump"
"3490","17091","Donald Trump","IL",25081,46556,0.538727553913566,"Donald Trump"
"3494","12089","Donald Trump","FL",34221,46537,0.735350366375142,"Donald Trump"
"3500","30029","Donald Trump","MT",30079,46250,0.650356756756757,"Donald Trump"
"3505","37049","Donald Trump","NC",27556,46231,0.59605026929982,"Donald Trump"
"3508","35045","Donald Trump","NM",27879,45975,0.606394779771615,"Donald Trump"
"3516","26091","Donald Trump","MI",26428,45895,0.575836147728511,"Donald Trump"
