"","fips","cand","st","votes","total_votes","pct","lead"
"1729","9011","Hillary Clinton","CT",62951,124527,0.50552089105174,"Hillary Clinton"
"1730","9011","Donald Trump","CT",54574,124527,0.43825033928385,"Hillary Clinton"
"1733","45051","Donald Trump","SC",83819,124503,0.673228757539979,"Donald Trump"
"1734","45051","Hillary Clinton","SC",36731,124503,0.295021003509956,"Donald Trump"
"1740","37051","Hillary Clinton","NC",70523,124402,0.56689603061044,"Hillary Clinton"
"1741","37051","Donald Trump","NC",50593,124402,0.406689603061044,"Hillary Clinton"
"1743","22103","Donald Trump","LA",90914,124389,0.730884563747598,"Donald Trump"
"1744","22103","Hillary Clinton","LA",27716,124389,0.222817130132086,"Donald Trump"
"1756","24025","Donald Trump","MD",74261,124224,0.597799137042761,"Donald Trump"
"1757","24025","Hillary Clinton","MD",43803,124224,0.352613021638331,"Donald Trump"
"1760","48167","Donald Trump","TX",73566,123994,0.593302901753311,"Donald Trump"
"1761","48167","Hillary Clinton","TX",45503,123994,0.366977434391987,"Donald Trump"
"1764","36087","Hillary Clinton","NY",63454,123943,0.511961143428834,"Hillary Clinton"
"1765","36087","Donald Trump","NY",57148,123943,0.461082917147398,"Hillary Clinton"
"1768","45063","Donald Trump","SC",79866,121829,0.655558200428469,"Donald Trump"
"1769","45063","Hillary Clinton","SC",35143,121829,0.288461696312044,"Donald Trump"
"1775","45083","Donald Trump","SC",76101,120793,0.630011672861838,"Donald Trump"
"1776","45083","Hillary Clinton","SC",39888,120793,0.330217810634722,"Donald Trump"
"1782","48039","Donald Trump","TX",72653,120296,0.603951918600785,"Donald Trump"
"1783","48039","Hillary Clinton","TX",43075,120296,0.358075081465718,"Donald Trump"
"1786","36027","Donald Trump","NY",58163,120199,0.483889217048395,"Donald Trump"
"1787","36027","Hillary Clinton","NY",56874,120199,0.473165334154194,"Donald Trump"
"1790","51013","Hillary Clinton","VA",91879,119344,0.769866939267998,"Hillary Clinton"
"1791","51013","Donald Trump","VA",20155,119344,0.168881552486929,"Hillary Clinton"
"1795","17163","Hillary Clinton","IL",60180,119201,0.504861536396507,"Hillary Clinton"
"1796","17163","Donald Trump","IL",53479,119201,0.448645565053984,"Hillary Clinton"
"1799","42049","Donald Trump","PA",57168,117240,0.487615148413511,"Donald Trump"
"1800","42049","Hillary Clinton","PA",54820,117240,0.467587853974753,"Donald Trump"
"1804","53067","Hillary Clinton","WA",62130,116839,0.531757375533854,"Hillary Clinton"
"1805","53067","Donald Trump","WA",44320,116839,0.379325396485762,"Hillary Clinton"
"1811","42041","Donald Trump","PA",65649,115068,0.570523516529357,"Donald Trump"
"1812","42041","Hillary Clinton","PA",44282,115068,0.384833315952306,"Donald Trump"
"1816","24021","Donald Trump","MD",56472,114962,0.491223186792157,"Donald Trump"
"1817","24021","Hillary Clinton","MD",51891,114962,0.451375237034846,"Donald Trump"
"1820","19113","Hillary Clinton","IA",58481,114664,0.510020581873997,"Hillary Clinton"
"1821","19113","Donald Trump","IA",48183,114664,0.420210353729156,"Hillary Clinton"
"1830","39165","Donald Trump","OH",75947,114254,0.664720709997024,"Donald Trump"
"1831","39165","Hillary Clinton","OH",33036,114254,0.28914523780349,"Donald Trump"
"1835","23031","Hillary Clinton","ME",55828,113962,0.489882592443095,"Hillary Clinton"
"1836","23031","Donald Trump","ME",50388,113962,0.44214738246082,"Hillary Clinton"
"1839","45091","Donald Trump","SC",66245,113425,0.584042318712806,"Donald Trump"
"1840","45091","Hillary Clinton","SC",41230,113425,0.363500110204981,"Donald Trump"
"1846","17201","Donald Trump","IL",53922,113027,0.477071850088917,"Donald Trump"
"1847","17201","Hillary Clinton","IL",52595,113027,0.465331292523025,"Donald Trump"
"1850","39099","Hillary Clinton","OH",56188,112827,0.498001364921517,"Hillary Clinton"
"1851","39099","Donald Trump","OH",52808,112827,0.468043996561107,"Hillary Clinton"
"1855","39085","Donald Trump","OH",62627,112790,0.555253125277064,"Donald Trump"
"1856","39085","Hillary Clinton","OH",45056,112790,0.399468037946626,"Donald Trump"
"1860","51550","Donald Trump","VA",53988,111827,0.482781439187316,"Donald Trump"
"1861","51550","Hillary Clinton","VA",52554,111827,0.469958060218015,"Donald Trump"
"1865","27137","Hillary Clinton","MN",57769,111260,0.519225238180838,"Hillary Clinton"
"1866","27137","Donald Trump","MN",44631,111260,0.401141470429624,"Hillary Clinton"
"1874","13057","Donald Trump","GA",80611,110825,0.727371982855854,"Donald Trump"
"1875","13057","Hillary Clinton","GA",25203,110825,0.227412587412587,"Donald Trump"
"1877","41047","Donald Trump","OR",54336,110804,0.490379408685607,"Donald Trump"
"1878","41047","Hillary Clinton","OR",48803,110804,0.440444388289231,"Donald Trump"
"1881","53035","Hillary Clinton","WA",57049,110419,0.516659270596546,"Hillary Clinton"
"1882","53035","Donald Trump","WA",43265,110419,0.391825682174264,"Hillary Clinton"
"1888","6099","Donald Trump","CA",52567,109582,0.47970469602672,"Donald Trump"
"1889","6099","Hillary Clinton","CA",51171,109582,0.466965377525506,"Donald Trump"
"1893","18141","Hillary Clinton","IN",52247,109452,0.477350802178124,"Hillary Clinton"
"1894","18141","Donald Trump","IN",52019,109452,0.475267697255418,"Hillary Clinton"
"1896","40027","Donald Trump","OK",62469,109326,0.571401130563635,"Donald Trump"
"1897","40027","Hillary Clinton","OK",38790,109326,0.354810383623292,"Donald Trump"
"1899","29047","Donald Trump","MO",57328,109237,0.524803866821681,"Donald Trump"
"1900","29047","Hillary Clinton","MO",45182,109237,0.413614434669572,"Donald Trump"
"1904","37129","Donald Trump","NC",54665,108737,0.502726762739454,"Donald Trump"
"1905","37129","Hillary Clinton","NC",50219,108737,0.461839116400121,"Donald Trump"
"1907","47149","Donald Trump","TN",64428,106518,0.604855517377345,"Donald Trump"
"1908","47149","Hillary Clinton","TN",36627,106518,0.343857376218104,"Donald Trump"
