"","fips","cand","st","votes","total_votes","pct","lead"
"2320","39057","Hillary Clinton","OH",28023,79633,0.351901849735662,"Donald Trump"
"2325","12017","Hillary Clinton","FL",22765,79590,0.286028395527076,"Donald Trump"
"2331","5143","Hillary Clinton","AR",32296,79543,0.406019385741046,"Donald Trump"
"2339","39089","Hillary Clinton","OH",26360,79399,0.331994105719216,"Donald Trump"
"2343","27109","Hillary Clinton","MN",36266,79277,0.457459288318176,"Hillary Clinton"
"2353","42007","Hillary Clinton","PA",30225,79036,0.3824206690622,"Donald Trump"
"2358","17113","Hillary Clinton","IL",35918,78995,0.454687005506678,"Donald Trump"
"2362","27145","Hillary Clinton","MN",25575,78985,0.323795657403304,"Donald Trump"
"2371","45015","Hillary Clinton","SC",30492,78919,0.386370835920374,"Donald Trump"
"2378","38017","Hillary Clinton","ND",31291,78807,0.397058636923116,"Donald Trump"
"2383","37147","Hillary Clinton","NC",40967,78264,0.523446284370847,"Hillary Clinton"
"2387","46099","Hillary Clinton","SD",30610,78263,0.391117130700331,"Donald Trump"
"2391","48309","Hillary Clinton","TX",27046,78255,0.345613698805188,"Donald Trump"
"2395","26147","Hillary Clinton","MI",24553,77994,0.314806267148755,"Donald Trump"
"2401","31153","Hillary Clinton","NE",27704,77781,0.356179529705198,"Donald Trump"
"2405","36007","Hillary Clinton","NY",35212,77657,0.453429826029849,"Donald Trump"
"2408","17143","Hillary Clinton","IL",37436,77465,0.483263409281611,"Hillary Clinton"
"2412","50007","Hillary Clinton","VT",54463,77263,0.704904029095427,"Hillary Clinton"
"2418","36111","Hillary Clinton","NY",40010,77134,0.518707703477066,"Hillary Clinton"
"2422","26121","Hillary Clinton","MI",36640,77114,0.475140700780662,"Hillary Clinton"
"2428","9013","Hillary Clinton","CT",38450,77069,0.498903579908913,"Hillary Clinton"
"2433","12119","Hillary Clinton","FL",22631,76649,0.29525499354199,"Donald Trump"
"2439","18127","Hillary Clinton","IN",33531,76492,0.438359567013544,"Donald Trump"
"2442","55131","Hillary Clinton","WI",20854,76246,0.273509430002885,"Donald Trump"
"2449","55059","Hillary Clinton","WI",35770,75825,0.471744147708539,"Donald Trump"
"2455","19103","Hillary Clinton","IA",49942,75637,0.660285310099554,"Hillary Clinton"
"2465","42027","Hillary Clinton","PA",36555,75394,0.484852906066796,"Hillary Clinton"
"2471","18063","Hillary Clinton","IN",22595,75258,0.300233862180765,"Donald Trump"
"2473","51710","Hillary Clinton","VA",51429,75172,0.684151013675305,"Hillary Clinton"
"2478","55105","Hillary Clinton","WI",39336,75043,0.524179470436949,"Hillary Clinton"
"2486","54039","Hillary Clinton","WV",27985,74996,0.373153234839191,"Donald Trump"
"2490","13245","Hillary Clinton","GA",48707,74952,0.649842565908848,"Hillary Clinton"
"2494","8077","Hillary Clinton","CO",20958,74876,0.279902772584006,"Donald Trump"
"2516","45003","Hillary Clinton","SC",25426,74773,0.34004252872026,"Donald Trump"
"2523","27139","Hillary Clinton","MN",28502,74390,0.383142895550477,"Donald Trump"
"2531","51510","Hillary Clinton","VA",57147,74384,0.768270058077006,"Hillary Clinton"
"2537","10001","Hillary Clinton","DE",33347,74253,0.449099699675434,"Donald Trump"
"2541","4015","Hillary Clinton","AZ",16485,74189,0.222202752429605,"Donald Trump"
"2545","26115","Hillary Clinton","MI",26859,74101,0.362464744065532,"Donald Trump"
"2551","39133","Hillary Clinton","OH",31463,73968,0.425359614968635,"Donald Trump"
"2556","34037","Hillary Clinton","NJ",24132,73860,0.326726238830219,"Donald Trump"
"2565","20177","Hillary Clinton","KS",33270,73648,0.451743428199001,"Donald Trump"
"2569","45013","Hillary Clinton","SC",29577,72770,0.406444963583894,"Donald Trump"
"2575","24017","Hillary Clinton","MD",46063,72480,0.635527041942605,"Hillary Clinton"
"2580","6007","Hillary Clinton","CA",31638,72299,0.437599413546522,"Donald Trump"
"2585","37057","Hillary Clinton","NC",17328,72013,0.240623220807354,"Donald Trump"
"2588","16027","Hillary Clinton","ID",16683,72007,0.231685808324191,"Donald Trump"
"2596","18163","Hillary Clinton","IN",28296,71957,0.39323484859013,"Donald Trump"
"2599","21117","Hillary Clinton","KY",24213,71947,0.336539397056166,"Donald Trump"
"2605","26021","Hillary Clinton","MI",29496,71882,0.410339166968087,"Donald Trump"
"2611","48209","Hillary Clinton","TX",33117,71524,0.463019406073486,"Donald Trump"
"2615","47165","Hillary Clinton","TN",18153,71080,0.25538829487901,"Donald Trump"
"2622","37035","Hillary Clinton","NC",21050,71065,0.296207697178639,"Donald Trump"
"2624","6053","Hillary Clinton","CA",47387,70861,0.668731742425312,"Hillary Clinton"
"2630","34019","Hillary Clinton","NJ",28797,70582,0.407993539429316,"Donald Trump"
"2639","39045","Hillary Clinton","OH",24150,70542,0.342349238751382,"Donald Trump"
"2644","53005","Hillary Clinton","WA",23160,70499,0.328515298089335,"Donald Trump"
"2650","35049","Hillary Clinton","NM",49956,70376,0.709844265090372,"Hillary Clinton"
"2659","13139","Hillary Clinton","GA",16153,70133,0.230319535739238,"Donald Trump"
"2661","35013","Hillary Clinton","NM",37543,69875,0.53728801431127,"Hillary Clinton"
"2670","6017","Hillary Clinton","CA",28026,69852,0.401219721697303,"Donald Trump"
"2675","26075","Hillary Clinton","MI",25795,69567,0.3707936234134,"Donald Trump"
"2681","42055","Hillary Clinton","PA",17322,69345,0.249794505732209,"Donald Trump"
"2686","37001","Hillary Clinton","NC",29268,69264,0.422557172557173,"Donald Trump"
"2689","27171","Hillary Clinton","MN",20336,69154,0.294068311305203,"Donald Trump"
"2698","55073","Hillary Clinton","WI",26476,68849,0.384551700097314,"Donald Trump"
"2704","51700","Hillary Clinton","VA",40997,68432,0.599091068505962,"Hillary Clinton"
"2709","13215","Hillary Clinton","GA",39602,68320,0.579654566744731,"Hillary Clinton"
"2713","22073","Hillary Clinton","LA",24420,67987,0.359186315030815,"Donald Trump"
"2725","33017","Hillary Clinton","NH",34884,67966,0.513256628314157,"Hillary Clinton"
"2731","37019","Hillary Clinton","NC",23117,67255,0.343721656382425,"Donald Trump"
"2734","16055","Hillary Clinton","ID",16264,66286,0.245361011374951,"Donald Trump"
"2742","18081","Hillary Clinton","IN",17318,66229,0.261486659922391,"Donald Trump"
"2745","48041","Hillary Clinton","TX",23041,66036,0.3489157429281,"Donald Trump"
"2749","23011","Hillary Clinton","ME",29296,65999,0.44388551341687,"Donald Trump"
"2753","36083","Hillary Clinton","NY",30039,65991,0.455198436150384,"Donald Trump"
"2756","42089","Hillary Clinton","PA",31930,65944,0.484198714060415,"Hillary Clinton"
"2762","51179","Hillary Clinton","VA",27879,65350,0.426610558530987,"Donald Trump"
"2767","18039","Hillary Clinton","IN",20667,65187,0.317041741451516,"Donald Trump"
"2770","30111","Hillary Clinton","MT",21117,64903,0.325362463984716,"Donald Trump"
"2774","15001","Hillary Clinton","HI",41258,64865,0.636059508209358,"Hillary Clinton"
"2780","13223","Hillary Clinton","GA",18004,64601,0.278695376232566,"Donald Trump"
"2782","25003","Hillary Clinton","MA",43540,64507,0.674965507619328,"Hillary Clinton"
"2786","44009","Hillary Clinton","RI",33511,64248,0.521588220645001,"Hillary Clinton"
"2792","13073","Hillary Clinton","GA",18863,64190,0.293861972269824,"Donald Trump"
"2795","28033","Hillary Clinton","MS",19892,64022,0.310705694917372,"Donald Trump"
"2802","37151","Hillary Clinton","NC",13074,63615,0.205517566611648,"Donald Trump"
"2805","17179","Hillary Clinton","IL",20568,63347,0.324687830520782,"Donald Trump"
"2808","19013","Hillary Clinton","IA",32006,63221,0.506255832713813,"Hillary Clinton"
"2819","37159","Hillary Clinton","NC",19208,63078,0.304511874187514,"Donald Trump"
"2822","48139","Hillary Clinton","TX",16197,63064,0.256834327032856,"Donald Trump"
"2825","17161","Hillary Clinton","IL",32258,62971,0.512267551730161,"Hillary Clinton"
"2829","55063","Hillary Clinton","WI",32402,62785,0.516078681213666,"Hillary Clinton"
"2837","42107","Hillary Clinton","PA",16724,62750,0.266517928286853,"Donald Trump"
"2842","45035","Hillary Clinton","SC",24010,62463,0.384387557434001,"Donald Trump"
"2849","51085","Hillary Clinton","VA",19360,62313,0.310689583233033,"Donald Trump"
"2854","39173","Hillary Clinton","OH",26440,62287,0.424486650504921,"Donald Trump"
