precinct,candidate,votes
05-592 Shanly,Obama,195
05-592 Shanly,Romney,197
05-592 Shanly,Stein,7
05-592 Shanly,Write-In,9
05-594 University Campus,Johnson,10
05-594 University Campus,Obama,128
05-594 University Campus,Romney,47
05-594 University Campus,Stein,10
05-594 University Campus,Write-In,5
05-596 University West,Johnson,27
05-596 University West,Obama,433
05-596 University West,Romney,644
05-596 University West,Stein,11
05-596 University West,Write-In,11
05-Absentee,Johnson,55
05-Absentee,Obama,614
05-Absentee,Romney,656
05-Absentee,Stein,27
05-Absentee,Write-In,17
05-Early Voting,Johnson,14
05-Early Voting,Obama,478
05-Early Voting,Romney,395
05-Early Voting,Stein,11
05-Early Voting,Write-In,5
05-Question,Johnson,16
05-Question,Obama,168
05-Question,Romney,179
05-Question,Stein,8
05-Question,Write-In,6
06-600 Big Delta,Johnson,25
06-600 Big Delta,Obama,166
06-600 Big Delta,Romney,873
06-600 Big Delta,Stein,8
06-600 Big Delta,Write-In,23
06-608 Delta Junction,Johnson,9
06-608 Delta Junction,Obama,57
06-608 Delta Junction,Romney,261
06-608 Delta Junction,Stein,2
06-608 Delta Junction,Write-In,2
06-622 Farm Loop,Johnson,16
06-622 Farm Loop,Obama,123
06-622 Farm Loop,Romney,258
06-622 Farm Loop,Stein,4
06-622 Farm Loop,Write-In,11
06-628 Fishhook,Johnson,38
06-628 Fishhook,Obama,317
06-628 Fishhook,Romney,911
06-628 Fishhook,Stein,4
06-628 Fishhook,Write-In,10
06-632 Glennallen,Johnson,12
06-632 Glennallen,Obama,57
06-632 Glennallen,Romney,216
06-632 Glennallen,Stein,1
06-632 Glennallen,Write-In,7
06-640 Sheep Mountain,Johnson,0
06-640 Sheep Mountain,Obama,22
06-640 Sheep Mountain,Romney,82
06-640 Sheep Mountain,Stein,1
06-640 Sheep Mountain,Write-In,1
06-645 Sutton,Johnson,13
06-645 Sutton,Obama,162
06-645 Sutton,Romney,279
06-645 Sutton,Stein,8
06-645 Sutton,Write-In,3
06-650 Valdez No. 1,Johnson,7
06-650 Valdez No. 1,Obama,173
06-650 Valdez No. 1,Romney,289
06-650 Valdez No. 1,Stein,4
06-650 Valdez No. 1,Write-In,11
06-655 Valdez No. 2,Johnson,16
06-655 Valdez No. 2,Obama,106
06-655 Valdez No. 2,Romney,193
06-655 Valdez No. 2,Stein,2
06-655 Valdez No. 2,Write-In,5
06-660 Valdez No. 3,Johnson,19
06-660 Valdez No. 3,Obama,176
06-660 Valdez No. 3,Romney,235
06-660 Valdez No. 3,Stein,5
06-660 Valdez No. 3,Write-In,5
06-Absentee,Johnson,47
06-Absentee,Obama,660
06-Absentee,Romney,1328
06-Absentee,Stein,22
06-Absentee,Write-In,22
06-Early Voting,Johnson,0
06-Early Voting,Obama,3
06-Early Voting,Romney,16
06-Early Voting,Stein,0
06-Early Voting,Write-In,0
06-Question,Johnson,22
06-Question,Obama,123
06-Question,Romney,313
06-Question,Stein,2
06-Question,Write-In,7
07-005 Kings Lake,Johnson,20
07-005 Kings Lake,Obama,159
07-005 Kings Lake,Romney,489
07-005 Kings Lake,Stein,3
07-005 Kings Lake,Write-In,8
07-010 Church,Johnson,17
07-010 Church,Obama,121
07-010 Church,Romney,474
07-010 Church,Stein,2
07-010 Church,Write-In,4
07-015 Tanaina,Johnson,12
07-015 Tanaina,Obama,195
07-015 Tanaina,Romney,593
07-015 Tanaina,Stein,5
07-015 Tanaina,Write-In,16
07-020 Houston,Johnson,13
07-020 Houston,Obama,118
07-020 Houston,Romney,342
07-020 Houston,Stein,4
07-020 Houston,Write-In,6
07-025 Meadow Lakes No. 1,Johnson,27
07-025 Meadow Lakes No. 1,Obama,91
07-025 Meadow Lakes No. 1,Romney,404
07-025 Meadow Lakes No. 1,Stein,0
07-025 Meadow Lakes No. 1,Write-In,9
07-030 Susitna,Johnson,19
07-030 Susitna,Obama,93
07-030 Susitna,Romney,261
07-030 Susitna,Stein,6
07-030 Susitna,Write-In,2
07-035 Talkeetna,Johnson,13
07-035 Talkeetna,Obama,170
07-035 Talkeetna,Romney,151
07-035 Talkeetna,Stein,17
07-035 Talkeetna,Write-In,3
07-040 Trapper Creek,Johnson,13
07-040 Trapper Creek,Obama,39
07-040 Trapper Creek,Romney,92
07-040 Trapper Creek,Stein,1
07-040 Trapper Creek,Write-In,3
07-045 Willow,Johnson,21
07-045 Willow,Obama,219
07-045 Willow,Romney,513
07-045 Willow,Stein,6
07-045 Willow,Write-In,6
07-Absentee,Johnson,28
07-Absentee,Obama,435
07-Absentee,Romney,973
07-Absentee,Stein,14
07-Absentee,Write-In,14
07-Early Voting,Johnson,14
07-Early Voting,Obama,222
07-Early Voting,Romney,611
07-Early Voting,Stein,0
07-Early Voting,Write-In,8
07-Question,Johnson,13
07-Question,Obama,100
07-Question,Romney,344
07-Question,Stein,14
07-Question,Write-In,5
08-055 Walby,Johnson,10
08-055 Walby,Obama,172
08-055 Walby,Romney,582
08-055 Walby,Stein,4
08-055 Walby,Write-In,6
08-060 Greater Palmer,Johnson,15
08-060 Greater Palmer,Obama,204
08-060 Greater Palmer,Romney,542
08-060 Greater Palmer,Stein,3
08-060 Greater Palmer,Write-In,5
08-065 Mat-Su Campus,Johnson,11
08-065 Mat-Su Campus,Obama,124
08-065 Mat-Su Campus,Romney,399
08-065 Mat-Su Campus,Stein,4
08-065 Mat-Su Campus,Write-In,6
08-070 Palmer City No. 1,Johnson,23
08-070 Palmer City No. 1,Obama,251
08-070 Palmer City No. 1,Romney,493
08-070 Palmer City No. 1,Stein,9
08-070 Palmer City No. 1,Write-In,10
08-075 Palmer City No. 2,Johnson,25
08-075 Palmer City No. 2,Obama,178
08-075 Palmer City No. 2,Romney,467
08-075 Palmer City No. 2,Stein,8
08-075 Palmer City No. 2,Write-In,9
08-080 Palmer Fishhook,Johnson,7
08-080 Palmer Fishhook,Obama,65
08-080 Palmer Fishhook,Romney,231
08-080 Palmer Fishhook,Stein,3
08-080 Palmer Fishhook,Write-In,1
08-085 Trunk,Johnson,12
08-085 Trunk,Obama,111
08-085 Trunk,Romney,435
08-085 Trunk,Stein,3
08-085 Trunk,Write-In,3
08-090 Seward Meridian,Johnson,14
08-090 Seward Meridian,Obama,85
08-090 Seward Meridian,Romney,330
08-090 Seward Meridian,Stein,0
08-090 Seward Meridian,Write-In,8
08-095 Springer Loop,Johnson,17
08-095 Springer Loop,Obama,146
08-095 Springer Loop,Romney,420
08-095 Springer Loop,Stein,3
08-095 Springer Loop,Write-In,4
08-Absentee,Johnson,38
08-Absentee,Obama,420
08-Absentee,Romney,1092
08-Absentee,Stein,10
08-Absentee,Write-In,12
08-Early Voting,Johnson,5
08-Early Voting,Obama,139
08-Early Voting,Romney,376
08-Early Voting,Stein,5
08-Early Voting,Write-In,3
08-Question,Johnson,25
08-Question,Obama,188
08-Question,Romney,459
08-Question,Stein,8
08-Question,Write-In,4
09-100 Lakes,Johnson,13
09-100 Lakes,Obama,157
09-100 Lakes,Romney,528
09-100 Lakes,Stein,2
09-100 Lakes,Write-In,11
09-105 Pioneer Peak,Johnson,17
09-105 Pioneer Peak,Obama,126
09-105 Pioneer Peak,Romney,481
09-105 Pioneer Peak,Stein,3
09-105 Pioneer Peak,Write-In,3
09-110 Schrock,Johnson,13
09-110 Schrock,Obama,119
09-110 Schrock,Romney,517
09-110 Schrock,Stein,5
09-110 Schrock,Write-In,7
09-115 Wasilla Lake,Johnson,14
09-115 Wasilla Lake,Obama,104
09-115 Wasilla Lake,Romney,276
09-115 Wasilla Lake,Stein,1
09-115 Wasilla Lake,Write-In,8
09-120 Wasilla No. 1,Johnson,25
09-120 Wasilla No. 1,Obama,248
09-120 Wasilla No. 1,Romney,852
09-120 Wasilla No. 1,Stein,9
09-120 Wasilla No. 1,Write-In,12
09-125 Wasilla No. 2,Johnson,26
09-125 Wasilla No. 2,Obama,231
09-125 Wasilla No. 2,Romney,606
09-125 Wasilla No. 2,Stein,12
09-125 Wasilla No. 2,Write-In,18
09-Absentee,Johnson,24
09-Absentee,Obama,240
09-Absentee,Romney,867
09-Absentee,Stein,11
09-Absentee,Write-In,11
09-Early Voting,Johnson,28
09-Early Voting,Obama,334
09-Early Voting,Romney,945
09-Early Voting,Stein,4
09-Early Voting,Write-In,4
09-Question,Johnson,17
09-Question,Obama,108
09-Question,Romney,360
09-Question,Stein,3
09-Question,Write-In,8
10-130 Meadow Lakes No. 2,Johnson,16
10-130 Meadow Lakes No. 2,Obama,97
10-130 Meadow Lakes No. 2,Romney,330
10-130 Meadow Lakes No. 2,Stein,6
10-130 Meadow Lakes No. 2,Write-In,6
10-135 Meadow Lakes No. 3,Johnson,28
10-135 Meadow Lakes No. 3,Obama,178
10-135 Meadow Lakes No. 3,Romney,597
10-135 Meadow Lakes No. 3,Stein,12
10-135 Meadow Lakes No. 3,Write-In,12
10-140 Knik Goose Bay No. 1,Johnson,9
10-140 Knik Goose Bay No. 1,Obama,143
10-140 Knik Goose Bay No. 1,Romney,656
10-140 Knik Goose Bay No. 1,Stein,5
10-140 Knik Goose Bay No. 1,Write-In,16
10-145 Knik Goose Bay No. 2,Johnson,11
10-145 Knik Goose Bay No. 2,Obama,104
10-145 Knik Goose Bay No. 2,Romney,439
10-145 Knik Goose Bay No. 2,Stein,4
10-145 Knik Goose Bay No. 2,Write-In,4
10-150 Knik Goose Bay No. 3,Johnson,18
10-150 Knik Goose Bay No. 3,Obama,178
10-150 Knik Goose Bay No. 3,Romney,609
10-150 Knik Goose Bay No. 3,Stein,5
10-150 Knik Goose Bay No. 3,Write-In,9
10-155 Big Lake,Johnson,38
10-155 Big Lake,Obama,197
10-155 Big Lake,Romney,720
10-155 Big Lake,Stein,5
10-155 Big Lake,Write-In,11
10-Absentee,Johnson,22
10-Absentee,Obama,184
10-Absentee,Romney,698
10-Absentee,Stein,5
10-Absentee,Write-In,10
10-Early Voting,Johnson,5
10-Early Voting,Obama,173
10-Early Voting,Romney,538
10-Early Voting,Stein,5
10-Early Voting,Write-In,11
10-Question,Johnson,9
10-Question,Obama,90
10-Question,Romney,341
10-Question,Stein,5
10-Question,Write-In,11
11-200 Fairview No. 1,Johnson,9
11-200 Fairview No. 1,Obama,69
11-200 Fairview No. 1,Romney,272
11-200 Fairview No. 1,Stein,1
11-200 Fairview No. 1,Write-In,6
11-205 Fairview No. 2,Johnson,14
11-205 Fairview No. 2,Obama,132
11-205 Fairview No. 2,Romney,377
11-205 Fairview No. 2,Stein,3
11-205 Fairview No. 2,Write-In,5
11-210 Snowshoe,Johnson,15
11-210 Snowshoe,Obama,133
11-210 Snowshoe,Romney,447
11-210 Snowshoe,Stein,6
11-210 Snowshoe,Write-In,10
11-215 Lazy Mountain,Johnson,30
11-215 Lazy Mountain,Obama,281
11-215 Lazy Mountain,Romney,722
11-215 Lazy Mountain,Stein,9
11-215 Lazy Mountain,Write-In,17
11-220 Butte,Johnson,16
11-220 Butte,Obama,261
11-220 Butte,Romney,748
11-220 Butte,Stein,7
11-220 Butte,Write-In,14
11-225 Eklutna,Johnson,24
11-225 Eklutna,Obama,342
11-225 Eklutna,Romney,784
11-225 Eklutna,Stein,9
11-225 Eklutna,Write-In,14
11-230 Peters Creek No. 1,Johnson,26
11-230 Peters Creek No. 1,Obama,293
11-230 Peters Creek No. 1,Romney,898
11-230 Peters Creek No. 1,Stein,6
11-230 Peters Creek No. 1,Write-In,11
11-Absentee,Johnson,43
11-Absentee,Obama,502
11-Absentee,Romney,1147
11-Absentee,Stein,10
11-Absentee,Write-In,14
11-Early Voting,Johnson,8
11-Early Voting,Obama,132
11-Early Voting,Romney,380
11-Early Voting,Stein,0
11-Early Voting,Write-In,5
11-Question,Johnson,11
11-Question,Obama,77
11-Question,Romney,282
11-Question,Stein,3
11-Question,Write-In,6
12-235 Peters Creek No. 2,Johnson,39
12-235 Peters Creek No. 2,Obama,203
12-235 Peters Creek No. 2,Romney,584
12-235 Peters Creek No. 2,Stein,2
12-235 Peters Creek No. 2,Write-In,9
12-240 Fire Lake,Johnson,20
12-240 Fire Lake,Obama,169
12-240 Fire Lake,Romney,533
12-240 Fire Lake,Stein,3
12-240 Fire Lake,Write-In,15
12-245 JBER No. 1,Johnson,23
12-245 JBER No. 1,Obama,199
12-245 JBER No. 1,Romney,361
12-245 JBER No. 1,Stein,0
12-245 JBER No. 1,Write-In,4
12-250 Downtown Eagle River No. 1,Johnson,28
12-250 Downtown Eagle River No. 1,Obama,274
12-250 Downtown Eagle River No. 1,Romney,713
12-250 Downtown Eagle River No. 1,Stein,7
12-250 Downtown Eagle River No. 1,Write-In,8
12-255 Chugach Park No. 1,Johnson,16
12-255 Chugach Park No. 1,Obama,212
12-255 Chugach Park No. 1,Romney,457
12-255 Chugach Park No. 1,Stein,4
12-255 Chugach Park No. 1,Write-In,6
12-Absentee,Johnson,32
12-Absentee,Obama,603
12-Absentee,Romney,1260
12-Absentee,Stein,9
12-Absentee,Write-In,24
12-Early Voting,Johnson,1
12-Early Voting,Obama,50
12-Early Voting,Romney,78
12-Early Voting,Stein,1
12-Early Voting,Write-In,2
12-Question,Johnson,17
12-Question,Obama,191
12-Question,Romney,314
12-Question,Stein,4
12-Question,Write-In,7
13-300 JBER No. 2,Johnson,18
13-300 JBER No. 2,Obama,156
13-300 JBER No. 2,Romney,398
13-300 JBER No. 2,Stein,0
13-300 JBER No. 2,Write-In,3
13-305 Creekside Park,Johnson,19
13-305 Creekside Park,Obama,334
13-305 Creekside Park,Romney,464
13-305 Creekside Park,Stein,1
13-305 Creekside Park,Write-In,9
13-310 Muldoon No. 1,Johnson,25
13-310 Muldoon No. 1,Obama,368
13-310 Muldoon No. 1,Romney,308
13-310 Muldoon No. 1,Stein,6
13-310 Muldoon No. 1,Write-In,3
13-315 Muldoon No. 2,Johnson,16
13-315 Muldoon No. 2,Obama,255
13-315 Muldoon No. 2,Romney,236
13-315 Muldoon No. 2,Stein,0
13-315 Muldoon No. 2,Write-In,8
13-320 North Muldoon,Johnson,13
13-320 North Muldoon,Obama,270
13-320 North Muldoon,Romney,251
13-320 North Muldoon,Stein,5
13-320 North Muldoon,Write-In,3
13-Absentee,Johnson,35
13-Absentee,Obama,611
13-Absentee,Romney,1069
13-Absentee,Stein,5
13-Absentee,Write-In,9
13-Early Voting,Johnson,2
13-Early Voting,Obama,178
13-Early Voting,Romney,120
13-Early Voting,Stein,1
13-Early Voting,Write-In,2
13-Question,Johnson,10
13-Question,Obama,253
13-Question,Romney,232
13-Question,Stein,8
13-Question,Write-In,3
14-325 Russian Jack,Johnson,11
14-325 Russian Jack,Obama,252
14-325 Russian Jack,Romney,217
14-325 Russian Jack,Stein,7
14-325 Russian Jack,Write-In,4
14-330 Nunaka Valley,Johnson,17
14-330 Nunaka Valley,Obama,429
14-330 Nunaka Valley,Romney,363
14-330 Nunaka Valley,Stein,9
14-330 Nunaka Valley,Write-In,14
14-335 Northeast Anchorage,Johnson,8
14-335 Northeast Anchorage,Obama,222
14-335 Northeast Anchorage,Romney,287
14-335 Northeast Anchorage,Stein,4
14-335 Northeast Anchorage,Write-In,4
14-340 College Gate,Johnson,14
14-340 College Gate,Obama,333
14-340 College Gate,Romney,351
14-340 College Gate,Stein,5
14-340 College Gate,Write-In,1
14-345 Chester Valley,Johnson,16
14-345 Chester Valley,Obama,250
14-345 Chester Valley,Romney,319
14-345 Chester Valley,Stein,4
14-345 Chester Valley,Write-In,7
14-350 Reflection Lake,Johnson,28
14-350 Reflection Lake,Obama,498
14-350 Reflection Lake,Romney,599
14-350 Reflection Lake,Stein,8
14-350 Reflection Lake,Write-In,6
14-355 Wonder Park,Johnson,18
14-355 Wonder Park,Obama,297
14-355 Wonder Park,Romney,286
14-355 Wonder Park,Stein,8
14-355 Wonder Park,Write-In,5
14-Absentee,Johnson,30
14-Absentee,Obama,573
14-Absentee,Romney,652
14-Absentee,Stein,10
14-Absentee,Write-In,6
14-Early Voting,Johnson,5
14-Early Voting,Obama,287
14-Early Voting,Romney,182
14-Early Voting,Stein,4
14-Early Voting,Write-In,4
14-Question,Johnson,7
14-Question,Obama,199
14-Question,Romney,197
14-Question,Stein,4
14-Question,Write-In,7
15-400 Midtown No. 1,Johnson,18
15-400 Midtown No. 1,Obama,337
15-400 Midtown No. 1,Romney,317
15-400 Midtown No. 1,Stein,2
15-400 Midtown No. 1,Write-In,4
15-405 University No. 1,Johnson,11
15-405 University No. 1,Obama,202
15-405 University No. 1,Romney,140
15-405 University No. 1,Stein,5
15-405 University No. 1,Write-In,5
15-410 University No. 2,Johnson,19
15-410 University No. 2,Obama,225
15-410 University No. 2,Romney,219
15-410 University No. 2,Stein,5
15-410 University No. 2,Write-In,3
15-415 Far North Bicentennial,Johnson,8
15-415 Far North Bicentennial,Obama,211
15-415 Far North Bicentennial,Romney,219
15-415 Far North Bicentennial,Stein,2
15-415 Far North Bicentennial,Write-In,2
15-420 Tudor No. 1,Johnson,35
15-420 Tudor No. 1,Obama,567
15-420 Tudor No. 1,Romney,616
15-420 Tudor No. 1,Stein,6
15-420 Tudor No. 1,Write-In,15
15-425 Tudor No. 2,Johnson,16
15-425 Tudor No. 2,Obama,269
15-425 Tudor No. 2,Romney,209
15-425 Tudor No. 2,Stein,7
15-425 Tudor No. 2,Write-In,4
15-430 East Anchorage,Johnson,12
15-430 East Anchorage,Obama,213
15-430 East Anchorage,Romney,172
15-430 East Anchorage,Stein,1
15-430 East Anchorage,Write-In,2
15-Absentee,Johnson,47
15-Absentee,Obama,639
15-Absentee,Romney,545
15-Absentee,Stein,10
15-Absentee,Write-In,10
15-Early Voting,Johnson,6
15-Early Voting,Obama,316
15-Early Voting,Romney,197
15-Early Voting,Stein,3
15-Early Voting,Write-In,3
15-Question,Johnson,18
15-Question,Obama,304
15-Question,Romney,241
15-Question,Stein,9
15-Question,Write-In,5
16-435 Inlet View No. 1,Johnson,4
16-435 Inlet View No. 1,Obama,222
16-435 Inlet View No. 1,Romney,183
16-435 Inlet View No. 1,Stein,4
16-435 Inlet View No. 1,Write-In,1
16-440 Turnagain No. 1,Johnson,10
16-440 Turnagain No. 1,Obama,170
16-440 Turnagain No. 1,Romney,149
16-440 Turnagain No. 1,Stein,3
16-440 Turnagain No. 1,Write-In,1
16-445 Turnagain No. 2,Johnson,13
16-445 Turnagain No. 2,Obama,244
16-445 Turnagain No. 2,Romney,198
16-445 Turnagain No. 2,Stein,8
16-445 Turnagain No. 2,Write-In,8
16-450 Willow Crest,Johnson,15
