precinct,candidate,votes
31-440 Mendenhall Valley No. 2,Obama,438
31-440 Mendenhall Valley No. 2,Romney,486
31-440 Mendenhall Valley No. 2,Stein,6
31-440 Mendenhall Valley No. 2,Write-In,8
31-450 Mendenhall Valley No. 3,Johnson,29
31-450 Mendenhall Valley No. 3,Obama,396
31-450 Mendenhall Valley No. 3,Romney,491
31-450 Mendenhall Valley No. 3,Stein,10
31-450 Mendenhall Valley No. 3,Write-In,10
31-460 Mendenhall Valley No. 4,Johnson,35
31-460 Mendenhall Valley No. 4,Obama,566
31-460 Mendenhall Valley No. 4,Romney,586
31-460 Mendenhall Valley No. 4,Stein,11
31-460 Mendenhall Valley No. 4,Write-In,5
31-Absentee,Johnson,35
31-Absentee,Obama,639
31-Absentee,Romney,555
31-Absentee,Stein,10
31-Absentee,Write-In,15
31-Early Voting,Johnson,17
31-Early Voting,Obama,669
31-Early Voting,Romney,495
31-Early Voting,Stein,15
31-Early Voting,Write-In,5
31-Question,Johnson,24
31-Question,Obama,377
31-Question,Romney,247
31-Question,Stein,13
31-Question,Write-In,12
32-500 Douglas,Johnson,26
32-500 Douglas,Obama,532
32-500 Douglas,Romney,224
32-500 Douglas,Stein,16
32-500 Douglas,Write-In,6
32-505 Gustavus,Johnson,10
32-505 Gustavus,Obama,126
32-505 Gustavus,Romney,79
32-505 Gustavus,Stein,2
32-505 Gustavus,Write-In,2
32-510 Juneau No. 1,Johnson,19
32-510 Juneau No. 1,Obama,559
32-510 Juneau No. 1,Romney,225
32-510 Juneau No. 1,Stein,15
32-510 Juneau No. 1,Write-In,4
32-515 Juneau No. 2,Johnson,27
32-515 Juneau No. 2,Obama,868
32-515 Juneau No. 2,Romney,148
32-515 Juneau No. 2,Stein,28
32-515 Juneau No. 2,Write-In,2
32-520 Juneau No. 3,Johnson,11
32-520 Juneau No. 3,Obama,294
32-520 Juneau No. 3,Romney,169
32-520 Juneau No. 3,Stein,8
32-520 Juneau No. 3,Write-In,3
32-525 Lemon Creek,Johnson,22
32-525 Lemon Creek,Obama,315
32-525 Lemon Creek,Romney,275
32-525 Lemon Creek,Stein,6
32-525 Lemon Creek,Write-In,3
32-530 North Douglas,Johnson,15
32-530 North Douglas,Obama,433
32-530 North Douglas,Romney,211
32-530 North Douglas,Stein,4
32-530 North Douglas,Write-In,1
32-535 Petersburg-Kupreanof,Johnson,42
32-535 Petersburg-Kupreanof,Obama,508
32-535 Petersburg-Kupreanof,Romney,573
32-535 Petersburg-Kupreanof,Stein,8
32-535 Petersburg-Kupreanof,Write-In,9
32-540 Skagway,Johnson,18
32-540 Skagway,Obama,233
32-540 Skagway,Romney,124
32-540 Skagway,Stein,26
32-540 Skagway,Write-In,3
32-545 Tenakee Springs,Johnson,5
32-545 Tenakee Springs,Obama,21
32-545 Tenakee Springs,Romney,19
32-545 Tenakee Springs,Stein,1
32-545 Tenakee Springs,Write-In,1
32-Absentee,Johnson,57
32-Absentee,Obama,1394
32-Absentee,Romney,748
32-Absentee,Stein,42
32-Absentee,Write-In,20
32-Early Voting,Johnson,6
32-Early Voting,Obama,332
32-Early Voting,Romney,167
32-Early Voting,Stein,7
32-Early Voting,Write-In,1
32-Question,Johnson,13
32-Question,Obama,315
32-Question,Romney,133
32-Question,Stein,8
32-Question,Write-In,6
33-600 Ketchikan No. 1,Johnson,23
33-600 Ketchikan No. 1,Obama,339
33-600 Ketchikan No. 1,Romney,263
33-600 Ketchikan No. 1,Stein,10
33-600 Ketchikan No. 1,Write-In,10
33-610 Ketchikan No. 2,Johnson,39
33-610 Ketchikan No. 2,Obama,404
33-610 Ketchikan No. 2,Romney,473
33-610 Ketchikan No. 2,Stein,11
33-610 Ketchikan No. 2,Write-In,16
33-620 Ketchikan No. 3,Johnson,19
33-620 Ketchikan No. 3,Obama,212
33-620 Ketchikan No. 3,Romney,398
33-620 Ketchikan No. 3,Stein,9
33-620 Ketchikan No. 3,Write-In,6
33-630 North Prince of Wales,Johnson,9
33-630 North Prince of Wales,Obama,19
33-630 North Prince of Wales,Romney,43
33-630 North Prince of Wales,Stein,1
33-630 North Prince of Wales,Write-In,4
33-640 North Tongass No. 1,Johnson,22
33-640 North Tongass No. 1,Obama,106
33-640 North Tongass No. 1,Romney,207
33-640 North Tongass No. 1,Stein,2
33-640 North Tongass No. 1,Write-In,5
33-650 North Tongass No. 2,Johnson,24
33-650 North Tongass No. 2,Obama,226
33-650 North Tongass No. 2,Romney,501
33-650 North Tongass No. 2,Stein,5
33-650 North Tongass No. 2,Write-In,9
33-660 Saxman,Johnson,4
33-660 Saxman,Obama,72
33-660 Saxman,Romney,48
33-660 Saxman,Stein,3
33-660 Saxman,Write-In,0
33-670 South Tongass,Johnson,18
33-670 South Tongass,Obama,213
33-670 South Tongass,Romney,379
33-670 South Tongass,Stein,13
33-670 South Tongass,Write-In,8
33-680 Thorne Bay,Johnson,12
33-680 Thorne Bay,Obama,44
33-680 Thorne Bay,Romney,154
33-680 Thorne Bay,Stein,3
33-680 Thorne Bay,Write-In,4
33-690 Wrangell,Johnson,19
33-690 Wrangell,Obama,252
33-690 Wrangell,Romney,513
33-690 Wrangell,Stein,4
33-690 Wrangell,Write-In,5
33-Absentee,Johnson,48
33-Absentee,Obama,631
33-Absentee,Romney,1069
33-Absentee,Stein,28
33-Absentee,Write-In,19
33-Early Voting,Johnson,0
33-Early Voting,Obama,5
33-Early Voting,Romney,1
33-Early Voting,Stein,0
33-Early Voting,Write-In,0
33-Question,Johnson,32
33-Question,Obama,193
33-Question,Romney,240
33-Question,Stein,5
33-Question,Write-In,17
34- Question,Johnson,6
34- Question,Obama,163
34- Question,Romney,112
34- Question,Stein,4
34- Question,Write-In,4
34-700 Angoon,Johnson,6
34-700 Angoon,Obama,147
34-700 Angoon,Romney,41
34-700 Angoon,Stein,2
34-700 Angoon,Write-In,0
34-705 Craig,Johnson,19
34-705 Craig,Obama,193
34-705 Craig,Romney,194
34-705 Craig,Stein,3
34-705 Craig,Write-In,3
34-710 Haines No. 1,Johnson,32
34-710 Haines No. 1,Obama,402
34-710 Haines No. 1,Romney,388
34-710 Haines No. 1,Stein,15
34-710 Haines No. 1,Write-In,9
34-715 Haines No. 2,Johnson,4
34-715 Haines No. 2,Obama,35
34-715 Haines No. 2,Romney,57
34-715 Haines No. 2,Stein,3
34-715 Haines No. 2,Write-In,3
34-720 Hoonah,Johnson,4
34-720 Hoonah,Obama,197
34-720 Hoonah,Romney,127
34-720 Hoonah,Stein,1
34-720 Hoonah,Write-In,1
34-725 Hydaburg,Johnson,0
34-725 Hydaburg,Obama,92
34-725 Hydaburg,Romney,17
34-725 Hydaburg,Stein,0
34-725 Hydaburg,Write-In,0
34-730 Kake,Johnson,2
34-730 Kake,Obama,132
34-730 Kake,Romney,52
34-730 Kake,Stein,2
34-730 Kake,Write-In,0
34-735 Kasaan,Johnson,1
34-735 Kasaan,Obama,7
34-735 Kasaan,Romney,14
34-735 Kasaan,Stein,0
34-735 Kasaan,Write-In,6
34-740 Klawock,Johnson,2
34-740 Klawock,Obama,138
34-740 Klawock,Romney,119
34-740 Klawock,Stein,1
34-740 Klawock,Write-In,3
34-745 Klukwan,Johnson,0
34-745 Klukwan,Obama,24
34-745 Klukwan,Romney,17
34-745 Klukwan,Stein,1
34-745 Klukwan,Write-In,0
34-750 Metlakatla,Johnson,13
34-750 Metlakatla,Obama,311
34-750 Metlakatla,Romney,136
34-750 Metlakatla,Stein,10
34-750 Metlakatla,Write-In,2
34-755 Pelican,Johnson,1
34-755 Pelican,Obama,12
34-755 Pelican,Romney,31
34-755 Pelican,Stein,3
34-755 Pelican,Write-In,1
34-760 Port Alexander,Johnson,0
34-760 Port Alexander,Obama,11
34-760 Port Alexander,Romney,7
34-760 Port Alexander,Stein,0
34-760 Port Alexander,Write-In,0
34-765 Sitka No. 1,Johnson,62
34-765 Sitka No. 1,Obama,815
34-765 Sitka No. 1,Romney,680
34-765 Sitka No. 1,Stein,19
34-765 Sitka No. 1,Write-In,17
34-770 Sitka No. 2,Johnson,42
34-770 Sitka No. 2,Obama,900
34-770 Sitka No. 2,Romney,619
34-770 Sitka No. 2,Stein,20
34-770 Sitka No. 2,Write-In,20
34-Absentee,Johnson,45
34-Absentee,Obama,1061
34-Absentee,Romney,907
34-Absentee,Stein,40
34-Absentee,Write-In,19
34-Early Voting,Johnson,0
34-Early Voting,Obama,22
34-Early Voting,Romney,5
34-Early Voting,Stein,0
34-Early Voting,Write-In,1
35-800 Chiniak,Johnson,1
35-800 Chiniak,Obama,12
35-800 Chiniak,Romney,29
35-800 Chiniak,Stein,1
35-800 Chiniak,Write-In,1
35-805 Cordova,Johnson,16
35-805 Cordova,Obama,361
35-805 Cordova,Romney,380
35-805 Cordova,Stein,12
35-805 Cordova,Write-In,7
35-810 Flats,Johnson,14
35-810 Flats,Obama,183
35-810 Flats,Romney,352
35-810 Flats,Stein,8
35-810 Flats,Write-In,3
35-815 Kodiak Island South,Johnson,0
35-815 Kodiak Island South,Obama,13
35-815 Kodiak Island South,Romney,18
35-815 Kodiak Island South,Stein,1
35-815 Kodiak Island South,Write-In,1
35-820 Kodiak No. 1,Johnson,14
35-820 Kodiak No. 1,Obama,311
35-820 Kodiak No. 1,Romney,360
35-820 Kodiak No. 1,Stein,9
35-820 Kodiak No. 1,Write-In,4
35-825 Kodiak No. 2,Johnson,14
35-825 Kodiak No. 2,Obama,358
35-825 Kodiak No. 2,Romney,344
35-825 Kodiak No. 2,Stein,3
35-825 Kodiak No. 2,Write-In,6
35-830 Mission Road,Johnson,29
35-830 Mission Road,Obama,513
35-830 Mission Road,Romney,887
35-830 Mission Road,Stein,22
35-830 Mission Road,Write-In,13
35-835 Old Harbor,Johnson,5
35-835 Old Harbor,Obama,28
35-835 Old Harbor,Romney,22
35-835 Old Harbor,Stein,0
35-835 Old Harbor,Write-In,0
35-840 Ouzinkie,Johnson,2
35-840 Ouzinkie,Obama,50
35-840 Ouzinkie,Romney,15
35-840 Ouzinkie,Stein,0
35-840 Ouzinkie,Write-In,1
35-845 Port Lions,Johnson,1
35-845 Port Lions,Obama,18
35-845 Port Lions,Romney,45
35-845 Port Lions,Stein,0
35-845 Port Lions,Write-In,0
35-850 Tatitlek,Johnson,0
35-850 Tatitlek,Obama,0
35-850 Tatitlek,Romney,0
35-850 Tatitlek,Stein,0
35-850 Tatitlek,Write-In,0
35-855 Whittier,Johnson,1
35-855 Whittier,Obama,50
35-855 Whittier,Romney,38
35-855 Whittier,Stein,1
35-855 Whittier,Write-In,3
35-860 Yakutat,Johnson,7
35-860 Yakutat,Obama,121
35-860 Yakutat,Romney,82
35-860 Yakutat,Stein,0
35-860 Yakutat,Write-In,1
35-Absentee,Johnson,48
35-Absentee,Obama,668
35-Absentee,Romney,1041
35-Absentee,Stein,8
35-Absentee,Write-In,16
35-Early Voting,Johnson,0
35-Early Voting,Obama,2
35-Early Voting,Romney,0
35-Early Voting,Stein,0
35-Early Voting,Write-In,1
35-Question,Johnson,13
35-Question,Obama,142
35-Question,Romney,191
35-Question,Stein,6
35-Question,Write-In,5
36-002 Akiachak,Johnson,1
36-002 Akiachak,Obama,87
36-002 Akiachak,Romney,22
36-002 Akiachak,Stein,1
36-002 Akiachak,Write-In,1
36-004 Akiak,Johnson,7
36-004 Akiak,Obama,59
36-004 Akiak,Romney,20
36-004 Akiak,Stein,4
36-004 Akiak,Write-In,1
36-006 Aleknagik,Johnson,1
36-006 Aleknagik,Obama,31
36-006 Aleknagik,Romney,14
36-006 Aleknagik,Stein,1
36-006 Aleknagik,Write-In,1
36-008 Aniak,Johnson,1
36-008 Aniak,Obama,94
36-008 Aniak,Romney,42
36-008 Aniak,Stein,0
36-008 Aniak,Write-In,0
36-010 Anvik,Johnson,0
36-010 Anvik,Obama,10
36-010 Anvik,Romney,11
36-010 Anvik,Stein,1
36-010 Anvik,Write-In,0
36-012 Atmautluak,Johnson,3
36-012 Atmautluak,Obama,37
36-012 Atmautluak,Romney,9
36-012 Atmautluak,Stein,2
36-012 Atmautluak,Write-In,0
36-014 Chefornak,Johnson,3
36-014 Chefornak,Obama,88
36-014 Chefornak,Romney,5
36-014 Chefornak,Stein,1
36-014 Chefornak,Write-In,0
36-016 Chuathbaluk,Johnson,0
36-016 Chuathbaluk,Obama,15
36-016 Chuathbaluk,Romney,8
36-016 Chuathbaluk,Stein,0
36-016 Chuathbaluk,Write-In,0
36-018 Crooked Creek,Johnson,0
36-018 Crooked Creek,Obama,26
36-018 Crooked Creek,Romney,4
36-018 Crooked Creek,Stein,0
36-018 Crooked Creek,Write-In,2
36-020 Dillingham,Johnson,20
36-020 Dillingham,Obama,424
36-020 Dillingham,Romney,239
36-020 Dillingham,Stein,11
36-020 Dillingham,Write-In,2
36-022 Ekwok,Johnson,0
36-022 Ekwok,Obama,23
36-022 Ekwok,Romney,12
36-022 Ekwok,Stein,0
36-022 Ekwok,Write-In,1
36-024 Holy Cross,Johnson,0
36-024 Holy Cross,Obama,50
36-024 Holy Cross,Romney,3
36-024 Holy Cross,Stein,0
36-024 Holy Cross,Write-In,0
36-026 Kasigluk,Johnson,1
36-026 Kasigluk,Obama,68
36-026 Kasigluk,Romney,7
36-026 Kasigluk,Stein,0
36-026 Kasigluk,Write-In,0
36-028 King Salmon,Johnson,8
36-028 King Salmon,Obama,47
36-028 King Salmon,Romney,96
36-028 King Salmon,Stein,5
36-028 King Salmon,Write-In,1
36-030 Kipnuk,Johnson,3
36-030 Kipnuk,Obama,104
36-030 Kipnuk,Romney,11
36-030 Kipnuk,Stein,5
36-030 Kipnuk,Write-In,0
36-032 Koliganek,Johnson,1
36-032 Koliganek,Obama,34
36-032 Koliganek,Romney,16
36-032 Koliganek,Stein,0
36-032 Koliganek,Write-In,0
36-034 Kongiganak,Johnson,1
36-034 Kongiganak,Obama,79
36-034 Kongiganak,Romney,17
36-034 Kongiganak,Stein,3
36-034 Kongiganak,Write-In,0
36-036 Kwethluk,Johnson,4
36-036 Kwethluk,Obama,122
36-036 Kwethluk,Romney,16
36-036 Kwethluk,Stein,3
36-036 Kwethluk,Write-In,0
36-038 Kwigillingok,Johnson,4
36-038 Kwigillingok,Obama,64
36-038 Kwigillingok,Romney,14
36-038 Kwigillingok,Stein,3
36-038 Kwigillingok,Write-In,0
36-040 Lake Iliamna No. 1,Johnson,1
36-040 Lake Iliamna No. 1,Obama,46
36-040 Lake Iliamna No. 1,Romney,34
36-040 Lake Iliamna No. 1,Stein,1
36-040 Lake Iliamna No. 1,Write-In,0
36-042 Lake Iliamna No. 2,Johnson,1
36-042 Lake Iliamna No. 2,Obama,40
36-042 Lake Iliamna No. 2,Romney,17
36-042 Lake Iliamna No. 2,Stein,0
36-042 Lake Iliamna No. 2,Write-In,0
36-044 Levelock,Johnson,2
36-044 Levelock,Obama,17
36-044 Levelock,Romney,4
36-044 Levelock,Stein,1
36-044 Levelock,Write-In,0
36-046 Lower Kalskag,Johnson,4
36-046 Lower Kalskag,Obama,62
36-046 Lower Kalskag,Romney,20
36-046 Lower Kalskag,Stein,5
36-046 Lower Kalskag,Write-In,2
36-048 Manokotak,Johnson,6
36-048 Manokotak,Obama,67
36-048 Manokotak,Romney,48
36-048 Manokotak,Stein,2
36-048 Manokotak,Write-In,0
36-050 Naknek,Johnson,3
36-050 Naknek,Obama,70
36-050 Naknek,Romney,83
36-050 Naknek,Stein,1
36-050 Naknek,Write-In,2
36-052 Napakiak,Johnson,3
36-052 Napakiak,Obama,56
36-052 Napakiak,Romney,19
36-052 Napakiak,Stein,0
36-052 Napakiak,Write-In,0
36-054 Napaskiak,Johnson,1
36-054 Napaskiak,Obama,69
36-054 Napaskiak,Romney,12
36-054 Napaskiak,Stein,0
36-054 Napaskiak,Write-In,0
36-056 New Stuyahok,Johnson,4
36-056 New Stuyahok,Obama,102
36-056 New Stuyahok,Romney,22
36-056 New Stuyahok,Stein,1
36-056 New Stuyahok,Write-In,0
36-058 Newtok,Johnson,1
36-058 Newtok,Obama,76
36-058 Newtok,Romney,11
36-058 Newtok,Stein,1
36-058 Newtok,Write-In,0
36-060 Nightmute,Johnson,3
36-060 Nightmute,Obama,52
36-060 Nightmute,Romney,12
36-060 Nightmute,Stein,1
36-060 Nightmute,Write-In,0
36-062 Nondalton,Johnson,1
36-062 Nondalton,Obama,33
36-062 Nondalton,Romney,12
36-062 Nondalton,Stein,2
36-062 Nondalton,Write-In,0
36-064 Nunapitchuk,Johnson,3
36-064 Nunapitchuk,Obama,70
36-064 Nunapitchuk,Romney,15
36-064 Nunapitchuk,Stein,0
36-064 Nunapitchuk,Write-In,0
36-066 Pedro Bay,Johnson,0
36-066 Pedro Bay,Obama,6
36-066 Pedro Bay,Romney,5
36-066 Pedro Bay,Stein,0
36-066 Pedro Bay,Write-In,1
36-068 Russian Mission,Johnson,4
36-068 Russian Mission,Obama,59
36-068 Russian Mission,Romney,15
36-068 Russian Mission,Stein,5
36-068 Russian Mission,Write-In,0
36-070 Shageluk,Johnson,1
36-070 Shageluk,Obama,29
36-070 Shageluk,Romney,2
36-070 Shageluk,Stein,0
36-070 Shageluk,Write-In,0
36-072 Sleetmute,Johnson,1
36-072 Sleetmute,Obama,21
36-072 Sleetmute,Romney,10
36-072 Sleetmute,Stein,0
36-072 Sleetmute,Write-In,0
36-074 South Naknek,Johnson,2
36-074 South Naknek,Obama,8
36-074 South Naknek,Romney,10
36-074 South Naknek,Stein,0
36-074 South Naknek,Write-In,0
36-076 Toksook Bay,Johnson,1
36-076 Toksook Bay,Obama,138
36-076 Toksook Bay,Romney,18
36-076 Toksook Bay,Stein,1
36-076 Toksook Bay,Write-In,1
36-078 Tuluksak,Johnson,7
36-078 Tuluksak,Obama,49
36-078 Tuluksak,Romney,9
36-078 Tuluksak,Stein,2
36-078 Tuluksak,Write-In,0
36-080 Tuntutuliak,Johnson,2
36-080 Tuntutuliak,Obama,76
36-080 Tuntutuliak,Romney,12
36-080 Tuntutuliak,Stein,0
36-080 Tuntutuliak,Write-In,1
36-082 Tununak,Johnson,3
36-082 Tununak,Obama,68
36-082 Tununak,Romney,8
36-082 Tununak,Stein,3
36-082 Tununak,Write-In,0
36-084 Tyonek,Johnson,1
36-084 Tyonek,Obama,22
36-084 Tyonek,Romney,0
36-084 Tyonek,Stein,0
36-084 Tyonek,Write-In,1
36-086 Upper Kalskag,Johnson,2
36-086 Upper Kalskag,Obama,42
36-086 Upper Kalskag,Romney,19
36-086 Upper Kalskag,Stein,1
36-086 Upper Kalskag,Write-In,1
36-Absentee,Johnson,14
36-Absentee,Obama,398
36-Absentee,Romney,305
36-Absentee,Stein,10
36-Absentee,Write-In,5
36-Early Voting,Johnson,0
36-Early Voting,Obama,0
36-Early Voting,Romney,0
36-Early Voting,Stein,0
36-Early Voting,Write-In,0
36-Question,Johnson,8
36-Question,Obama,203
36-Question,Romney,98
36-Question,Stein,5
36-Question,Write-In,3
37-700 Akutan,Johnson,0
37-700 Akutan,Obama,52
37-700 Akutan,Romney,22
37-700 Akutan,Stein,2
37-700 Akutan,Write-In,5
37-702 Aleutians No. 1,Johnson,0
37-702 Aleutians No. 1,Obama,29
37-702 Aleutians No. 1,Romney,13
37-702 Aleutians No. 1,Stein,0
37-702 Aleutians No. 1,Write-In,0
37-704 Aleutians No. 2,Johnson,15
37-704 Aleutians No. 2,Obama,441
37-704 Aleutians No. 2,Romney,266
37-704 Aleutians No. 2,Stein,3
37-704 Aleutians No. 2,Write-In,5
37-706 Bethel No. 1,Johnson,15
37-706 Bethel No. 1,Obama,437
37-706 Bethel No. 1,Romney,141
37-706 Bethel No. 1,Stein,3
37-706 Bethel No. 1,Write-In,4
37-708 Bethel No. 2,Johnson,33
37-708 Bethel No. 2,Obama,443
37-708 Bethel No. 2,Romney,217
37-708 Bethel No. 2,Stein,5
37-708 Bethel No. 2,Write-In,5
37-710 Chignik,Johnson,1
37-710 Chignik,Obama,13
37-710 Chignik,Romney,5
37-710 Chignik,Stein,0
37-710 Chignik,Write-In,0
37-712 Clark's Point,Johnson,1
37-712 Clark's Point,Obama,6
37-712 Clark's Point,Romney,3
37-712 Clark's Point,Stein,0
37-712 Clark's Point,Write-In,0
37-714 Cold Bay,Johnson,0
37-714 Cold Bay,Obama,1
37-714 Cold Bay,Romney,30
37-714 Cold Bay,Stein,0
37-714 Cold Bay,Write-In,0
37-716 Eek,Johnson,3
37-716 Eek,Obama,53
37-716 Eek,Romney,17
37-716 Eek,Stein,0
37-716 Eek,Write-In,0
37-718 Egegik,Johnson,0
37-718 Egegik,Obama,0
37-718 Egegik,Romney,14
37-718 Egegik,Stein,1
37-718 Egegik,Write-In,0
37-720 Goodnews Bay,Johnson,4
37-720 Goodnews Bay,Obama,55
37-720 Goodnews Bay,Romney,19
37-720 Goodnews Bay,Stein,2
37-720 Goodnews Bay,Write-In,1
37-722 King Cove,Johnson,2
37-722 King Cove,Obama,56
37-722 King Cove,Romney,67
37-722 King Cove,Stein,1
37-722 King Cove,Write-In,0
37-724 Mekoryuk,Johnson,1
37-724 Mekoryuk,Obama,34
37-724 Mekoryuk,Romney,35
37-724 Mekoryuk,Stein,2
37-724 Mekoryuk,Write-In,0
37-726 Port Heiden,Johnson,2
37-726 Port Heiden,Obama,17
37-726 Port Heiden,Romney,13
37-726 Port Heiden,Stein,0
37-726 Port Heiden,Write-In,0
37-728 Quinhagak,Johnson,2
37-728 Quinhagak,Obama,75
37-728 Quinhagak,Romney,35
37-728 Quinhagak,Stein,2
37-728 Quinhagak,Write-In,1
37-730 Sand Point,Johnson,7
37-730 Sand Point,Obama,71
37-730 Sand Point,Romney,95
37-730 Sand Point,Stein,1
37-730 Sand Point,Write-In,0
37-732 St. George Island,Johnson,0
37-732 St. George Island,Obama,20
37-732 St. George Island,Romney,11
37-732 St. George Island,Stein,0
37-732 St. George Island,Write-In,1
37-734 St. Paul Island,Johnson,4
37-734 St. Paul Island,Obama,103
37-734 St. Paul Island,Romney,18
37-734 St. Paul Island,Stein,0
37-734 St. Paul Island,Write-In,0
37-736 Togiak,Johnson,8
37-736 Togiak,Obama,102
37-736 Togiak,Romney,75
37-736 Togiak,Stein,3
37-736 Togiak,Write-In,2
37-Absentee,Johnson,9
37-Absentee,Obama,417
37-Absentee,Romney,272
37-Absentee,Stein,11
37-Absentee,Write-In,3
37-Early Voting,Johnson,0
37-Early Voting,Obama,0
37-Early Voting,Romney,0
37-Early Voting,Stein,0
37-Early Voting,Write-In,0
37-Question,Johnson,9
37-Question,Obama,206
37-Question,Romney,149
37-Question,Stein,6
37-Question,Write-In,2
38-805 Anderson,Johnson,3
38-805 Anderson,Obama,15
38-805 Anderson,Romney,56
38-805 Anderson,Stein,0
38-805 Anderson,Write-In,1
38-810 Cantwell,Johnson,1
38-810 Cantwell,Obama,36
38-810 Cantwell,Romney,46
38-810 Cantwell,Stein,1
38-810 Cantwell,Write-In,1
38-815 Clear,Johnson,3
38-815 Clear,Obama,21
38-815 Clear,Romney,40
38-815 Clear,Stein,0
38-815 Clear,Write-In,0
38-820 Denali Park,Johnson,1
38-820 Denali Park,Obama,86
38-820 Denali Park,Romney,8
38-820 Denali Park,Stein,6
38-820 Denali Park,Write-In,0
38-825 Ester,Johnson,20
38-825 Ester,Obama,318
38-825 Ester,Romney,196
38-825 Ester,Stein,13
38-825 Ester,Write-In,9
38-827 Goldstream No. 1,Johnson,20
38-827 Goldstream No. 1,Obama,268
38-827 Goldstream No. 1,Romney,181
38-827 Goldstream No. 1,Stein,11
38-827 Goldstream No. 1,Write-In,12
38-830 Goldstream No. 2,Johnson,36
38-830 Goldstream No. 2,Obama,403
38-830 Goldstream No. 2,Romney,207
38-830 Goldstream No. 2,Stein,22
38-830 Goldstream No. 2,Write-In,11
38-833 Grayling,Johnson,3
38-833 Grayling,Obama,28
38-833 Grayling,Romney,21
38-833 Grayling,Stein,1
38-833 Grayling,Write-In,0
38-835 Healy,Johnson,6
38-835 Healy,Obama,151
38-835 Healy,Romney,190
38-835 Healy,Stein,9
38-835 Healy,Write-In,1
38-845 Manley Hot Springs,Johnson,0
38-845 Manley Hot Springs,Obama,19
38-845 Manley Hot Springs,Romney,30
38-845 Manley Hot Springs,Stein,0
38-845 Manley Hot Springs,Write-In,0
38-853 McGrath,Johnson,5
38-853 McGrath,Obama,52
38-853 McGrath,Romney,57
38-853 McGrath,Stein,0
38-853 McGrath,Write-In,1
38-855 Minto,Johnson,5
38-855 Minto,Obama,38
38-855 Minto,Romney,11
38-855 Minto,Stein,2
38-855 Minto,Write-In,0
38-863 Nenana,Johnson,12
38-863 Nenana,Obama,91
38-863 Nenana,Romney,164
38-863 Nenana,Stein,5
38-863 Nenana,Write-In,6
38-865 Nikolai,Johnson,2
38-865 Nikolai,Obama,31
38-865 Nikolai,Romney,14
38-865 Nikolai,Stein,0
38-865 Nikolai,Write-In,0
38-870 Ruby,Johnson,1
38-870 Ruby,Obama,36
38-870 Ruby,Romney,7
38-870 Ruby,Stein,0
38-870 Ruby,Write-In,2
38-890 Tanana,Johnson,1
38-890 Tanana,Obama,78
38-890 Tanana,Romney,10
38-890 Tanana,Stein,0
38-890 Tanana,Write-In,0
38-893 Takotna,Johnson,0
38-893 Takotna,Obama,3
38-893 Takotna,Romney,9
38-893 Takotna,Stein,0
38-893 Takotna,Write-In,0
38-895 University Hills,Johnson,10
38-895 University Hills,Obama,185
38-895 University Hills,Romney,99
38-895 University Hills,Stein,15
38-895 University Hills,Write-In,4
38-900 Alakanuk,Johnson,0
38-900 Alakanuk,Obama,111
38-900 Alakanuk,Romney,27
38-900 Alakanuk,Stein,1
38-900 Alakanuk,Write-In,0
38-904 Chevak,Johnson,1
38-904 Chevak,Obama,149
38-904 Chevak,Romney,23
38-904 Chevak,Stein,0
38-904 Chevak,Write-In,0
38-910 Emmonak,Johnson,3
38-910 Emmonak,Obama,132
38-910 Emmonak,Romney,3
38-910 Emmonak,Stein,44
38-910 Emmonak,Write-In,1
38-916 Hooper Bay,Johnson,3
38-916 Hooper Bay,Obama,183
38-916 Hooper Bay,Romney,31
38-916 Hooper Bay,Stein,4
38-916 Hooper Bay,Write-In,0
38-918 Kotlik,Johnson,4
38-918 Kotlik,Obama,93
38-918 Kotlik,Romney,19
38-918 Kotlik,Stein,1
38-918 Kotlik,Write-In,0
38-920 Marshall,Johnson,2
38-920 Marshall,Obama,74
38-920 Marshall,Romney,19
38-920 Marshall,Stein,2
38-920 Marshall,Write-In,0
38-922 Mountain Village,Johnson,5
38-922 Mountain Village,Obama,112
38-922 Mountain Village,Romney,55
38-922 Mountain Village,Stein,6
38-922 Mountain Village,Write-In,0
38-928 Nunam Iqua,Johnson,1
38-928 Nunam Iqua,Obama,45
38-928 Nunam Iqua,Romney,4
38-928 Nunam Iqua,Stein,2
38-928 Nunam Iqua,Write-In,0
38-930 Pilot Station,Johnson,1
38-930 Pilot Station,Obama,126
38-930 Pilot Station,Romney,38
38-930 Pilot Station,Stein,1
38-930 Pilot Station,Write-In,0
38-936 Scammon Bay,Johnson,2
38-936 Scammon Bay,Obama,105
38-936 Scammon Bay,Romney,15
38-936 Scammon Bay,Stein,0
38-936 Scammon Bay,Write-In,0
38-940 St. Mary's,Johnson,2
38-940 St. Mary's,Obama,104
38-940 St. Mary's,Romney,14
38-940 St. Mary's,Stein,0
38-940 St. Mary's,Write-In,1
38-Absentee,Johnson,18
38-Absentee,Obama,518
38-Absentee,Romney,435
38-Absentee,Stein,29
38-Absentee,Write-In,9
38-Early Voting,Johnson,6
38-Early Voting,Obama,257
38-Early Voting,Romney,99
38-Early Voting,Stein,9
38-Early Voting,Write-In,2
38-Question,Johnson,13
38-Question,Obama,233
38-Question,Romney,131
38-Question,Stein,13
38-Question,Write-In,6
39-005 Allakaket,Johnson,0
39-005 Allakaket,Obama,35
