town,candidate,votes
Georgetown,Obama/ Biden,2273
Georgetown,Romney/ Ryan,2579
Georgetown,Johnson/ Gray,49
Georgetown,Stein/ Honkala,17
Georgetown,All Others,12
Gill,Obama/ Biden,653
Gill,Romney/ Ryan,213
Gill,Johnson/ Gray,12
Gill,Stein/ Honkala,18
Gill,All Others,3
Gloucester,Obama/ Biden,9780
Gloucester,Romney/ Ryan,5535
Gloucester,Johnson/ Gray,161
Gloucester,Stein/ Honkala,79
Gloucester,All Others,61
Goshen,Obama/ Biden,395
Goshen,Romney/ Ryan,198
Goshen,Johnson/ Gray,10
Goshen,Stein/ Honkala,11
Goshen,All Others,0
Gosnold,Obama/ Biden,49
Gosnold,Romney/ Ryan,36
Gosnold,Johnson/ Gray,1
Gosnold,Stein/ Honkala,1
Gosnold,All Others,0
Grafton,Obama/ Biden,4877
Grafton,Romney/ Ryan,4438
Grafton,Johnson/ Gray,122
Grafton,Stein/ Honkala,49
Grafton,All Others,18
Granby,Obama/ Biden,1870
Granby,Romney/ Ryan,1575
Granby,Johnson/ Gray,28
Granby,Stein/ Honkala,28
Granby,All Others,5
Granville,Obama/ Biden,377
Granville,Romney/ Ryan,502
Granville,Johnson/ Gray,11
Granville,Stein/ Honkala,4
Granville,All Others,0
Great Barrington,Obama/ Biden,2928
Great Barrington,Romney/ Ryan,597
Great Barrington,Johnson/ Gray,33
Great Barrington,Stein/ Honkala,43
Great Barrington,All Others,8
Greenfield,Obama/ Biden,6187
Greenfield,Romney/ Ryan,1895
Greenfield,Johnson/ Gray,89
Greenfield,Stein/ Honkala,185
Greenfield,All Others,31
Groton,Obama/ Biden,3229
Groton,Romney/ Ryan,2814
Groton,Johnson/ Gray,58
Groton,Stein/ Honkala,49
Groton,All Others,11
Groveland,Obama/ Biden,1832
Groveland,Romney/ Ryan,2084
Groveland,Johnson/ Gray,50
Groveland,Stein/ Honkala,17
Groveland,All Others,10
Hadley,Obama/ Biden,2142
Hadley,Romney/ Ryan,891
Hadley,Johnson/ Gray,26
Hadley,Stein/ Honkala,43
Hadley,All Others,10
Halifax,Obama/ Biden,1938
Halifax,Romney/ Ryan,2071
Halifax,Johnson/ Gray,48
Halifax,Stein/ Honkala,16
Halifax,All Others,21
Hamilton,Obama/ Biden,2189
Hamilton,Romney/ Ryan,2223
Hamilton,Johnson/ Gray,56
Hamilton,Stein/ Honkala,26
Hamilton,All Others,18
Hampden,Obama/ Biden,1286
Hampden,Romney/ Ryan,1569
Hampden,Johnson/ Gray,37
Hampden,Stein/ Honkala,13
Hampden,All Others,5
Hancock,Obama/ Biden,228
Hancock,Romney/ Ryan,142
Hancock,Johnson/ Gray,9
Hancock,Stein/ Honkala,3
Hancock,All Others,0
Hanover,Obama/ Biden,3359
Hanover,Romney/ Ryan,4911
Hanover,Johnson/ Gray,53
Hanover,Stein/ Honkala,20
Hanover,All Others,16
Hanson,Obama/ Biden,2513
Hanson,Romney/ Ryan,3003
Hanson,Johnson/ Gray,43
Hanson,Stein/ Honkala,14
Hanson,All Others,2
Hardwick,Obama/ Biden,710
Hardwick,Romney/ Ryan,560
Hardwick,Johnson/ Gray,27
Hardwick,Stein/ Honkala,13
Hardwick,All Others,4
Harvard,Obama/ Biden,2167
Harvard,Romney/ Ryan,1362
Harvard,Johnson/ Gray,46
Harvard,Stein/ Honkala,30
Harvard,All Others,4
Harwich,Obama/ Biden,4415
Harwich,Romney/ Ryan,3622
Harwich,Johnson/ Gray,65
Harwich,Stein/ Honkala,53
