town,candidate,votes
Winchendon,Obama/ Biden,2142
Winchendon,Romney/ Ryan,1933
Winchendon,Johnson/ Gray,59
Winchendon,Stein/ Honkala,26
Winchendon,All Others,22
Winchester,Obama/ Biden,7107
Winchester,Romney/ Ryan,5635
Winchester,Johnson/ Gray,103
Winchester,Stein/ Honkala,64
Winchester,All Others,28
Windsor,Obama/ Biden,385
Windsor,Romney/ Ryan,127
Windsor,Johnson/ Gray,2
Windsor,Stein/ Honkala,8
Windsor,All Others,3
Winthrop,Obama/ Biden,5239
Winthrop,Romney/ Ryan,3578
Winthrop,Johnson/ Gray,64
Winthrop,Stein/ Honkala,46
Winthrop,All Others,27
Woburn,Obama/ Biden,10385
Woburn,Romney/ Ryan,8730
Woburn,Johnson/ Gray,162
Woburn,Stein/ Honkala,83
Woburn,All Others,26
Worcester,Obama/ Biden,42210
Worcester,Romney/ Ryan,17949
Worcester,Johnson/ Gray,613
Worcester,Stein/ Honkala,445
Worcester,All Others,176
Worthington,Obama/ Biden,481
Worthington,Romney/ Ryan,208
Worthington,Johnson/ Gray,11
Worthington,Stein/ Honkala,24
Worthington,All Others,2
Wrentham,Obama/ Biden,2718
Wrentham,Romney/ Ryan,3542
Wrentham,Johnson/ Gray,57
Wrentham,Stein/ Honkala,32
Wrentham,All Others,8
Yarmouth,Obama/ Biden,7198
Yarmouth,Romney/ Ryan,6541
Yarmouth,Johnson/ Gray,87
Yarmouth,Stein/ Honkala,76
Yarmouth,All Others,15
