town,candidate,votes
SMITHFIELD,Barack OBAMA,5293
SMITHFIELD,Mitt ROMNEY,4681
SMITHFIELD,Gary JOHNSON,101
SMITHFIELD,Jill STEIN,44
SMITHFIELD,WRITE-IN,22
SMITHFIELD,Ross C. &quot;Rocky&quot; ANDERSON,11
SMITHFIELD,Virgil GOODE,9
SMITHFIELD,Peta LINDSAY,2
SOUTH KINGSTOWN,Barack OBAMA,8611
SOUTH KINGSTOWN,Mitt ROMNEY,4720
SOUTH KINGSTOWN,Gary JOHNSON,179
SOUTH KINGSTOWN,Jill STEIN,115
SOUTH KINGSTOWN,WRITE-IN,48
SOUTH KINGSTOWN,Ross C. &quot;Rocky&quot; ANDERSON,12
SOUTH KINGSTOWN,Virgil GOODE,8
SOUTH KINGSTOWN,Peta LINDSAY,5
TIVERTON,Barack OBAMA,4573
TIVERTON,Mitt ROMNEY,3056
TIVERTON,Gary JOHNSON,70
TIVERTON,Jill STEIN,34
TIVERTON,WRITE-IN,27
TIVERTON,Virgil GOODE,8
TIVERTON,Ross C. &quot;Rocky&quot; ANDERSON,8
TIVERTON,Peta LINDSAY,2
WARREN,Barack OBAMA,3058
WARREN,Mitt ROMNEY,1688
WARREN,Gary JOHNSON,47
WARREN,Jill STEIN,37
WARREN,WRITE-IN,13
WARREN,Ross C. &quot;Rocky&quot; ANDERSON,5
WARREN,Virgil GOODE,3
WARREN,Peta LINDSAY,2
WARWICK,Barack OBAMA,24448
WARWICK,Mitt ROMNEY,15027
WARWICK,Gary JOHNSON,452
WARWICK,Jill STEIN,215
WARWICK,WRITE-IN,132
WARWICK,Virgil GOODE,50
WARWICK,Ross C. &quot;Rocky&quot; ANDERSON,46
WARWICK,Peta LINDSAY,10
WEST GREENWICH,Mitt ROMNEY,1590
WEST GREENWICH,Barack OBAMA,1503
WEST GREENWICH,Gary JOHNSON,35
WEST GREENWICH,WRITE-IN,11
WEST GREENWICH,Jill STEIN,10
WEST GREENWICH,Virgil GOODE,8
WEST GREENWICH,Ross C. &quot;Rocky&quot; ANDERSON,4
WEST GREENWICH,Peta LINDSAY,1
WEST WARWICK,Barack OBAMA,6956
WEST WARWICK,Mitt ROMNEY,4332
WEST WARWICK,Gary JOHNSON,128
WEST WARWICK,Jill STEIN,73
WEST WARWICK,WRITE-IN,51
WEST WARWICK,Ross C. &quot;Rocky&quot; ANDERSON,12
WEST WARWICK,Virgil GOODE,11
WEST WARWICK,Peta LINDSAY,4
WESTERLY,Barack OBAMA,6071
WESTERLY,Mitt ROMNEY,4382
WESTERLY,Gary JOHNSON,79
WESTERLY,Jill STEIN,53
WESTERLY,WRITE-IN,31
WESTERLY,Virgil GOODE,10
WESTERLY,Ross C. &quot;Rocky&quot; ANDERSON,9
WESTERLY,Peta LINDSAY,5
WOONSOCKET,Barack OBAMA,7985
WOONSOCKET,Mitt ROMNEY,4114
WOONSOCKET,Gary JOHNSON,137
WOONSOCKET,Jill STEIN,61
WOONSOCKET,WRITE-IN,46
WOONSOCKET,Virgil GOODE,12
WOONSOCKET,Ross C. &quot;Rocky&quot; ANDERSON,10
WOONSOCKET,Peta LINDSAY,4
